"continent","reps"
"North America",3011184
"",1765352
"NORTH AMERICA",269900
"Europe",167444
"Oceania",166903
"Asia",162532
"South America",160288
"Africa",157975
"[no higher geography data]",136433
"Central America",122811
"North and Central America",39767
"Antarctica",39267
"Caribbean Islands",30849
"Australasia",10964
"EUROPE",9741
"ANTARCTICA",7402
"OCEANIA",4037
"Pacific Ocean",3495
"Unrecorded",1734
"Atlantic",1345
"Caribbean",1232
"Middle East",1216
"SOUTH AMERICA",1158
"Australia",877
"Atlantic Ocean",566
"Arctic Region",555
"Pacific",350
"Undefined",196
"ASIA",153
"Indian Ocean",142
"no data",121
"AFRICA",119
"Caribbean Sea",109
"Indo-Pacific",38
"Mediterranean",29
"Oman",24
"West Africa",18
"UO 15847 Post, Oregon",16
"North Atlantic",15
"Bastrop County, Texas, United States",12
"Indian",12
"Indo Pacific",12
"Lesser Antilles",10
"Eurasia",9
"Asia/Europe",3
"Denmark",3
"Southeast Asia",3
"United States",3
"West Indies",3
"Douglas County, Oregon, United States",2
"European Seas",2
"Lewis County, Washington",2
"North Sea",2
"Atlantic-Pacific Oceans",1
"Bermuda Island",1
"Eastern Atlantic",1
"Europe?",1
"Gulf of Mexico",1
"Hinds County, Mississippi, United States",1
"Indoaustralia",1
"Mediterranian Sea",1
"North Atlantic Ocean",1
