"countryCode","reps"
"",4381453
"US",849343
"PG",75976
"MX",74600
"AU",62120
"BR",40663
"CA",38195
"CU",37324
"CZ",34329
"PA",30368
"CN",27017
"EC",25604
"BS",22283
"DO",22279
"PH",20820
"CR",20450
"ZA",19767
"TZ",19429
"ID",18007
"CO",17751
"USA",16925
"HT",16321
"PE",15692
"MG",14844
"JM",14579
"CD",12779
"IN",12519
"KE",12324
"JP",12239
"MY",11219
"HN",10529
"DE",9785
"SB",9656
"FR",9574
"GB",8136
"GT",8068
"TT",7909
"NZ",7619
"CL",7594
"ES",7465
"VE",6943
"AR",6721
"RU",6137
"AQ",6132
"TH",6069
"MZ",5983
"UG",5768
"IT",5686
"VI",5147
"CM",4817
"SR",4660
"BM",4007
"LR",3900
"MQ",3744
"FJ",3725
"GD",3621
"GP",3564
"VG",3353
"MW",3328
"BB",3263
"BO",2984
"BE",2583
"PF",2550
"LK",2532
"SO",2505
"GY",2502
"MU",2463
"MA",2421
"KY",2320
"LC",2208
"VN",2192
"NI",2163
"MM",2159
"PT",2073
"DM",2054
"ET",1996
"AT",1995
"NC",1945
"BZ",1911
"VC",1867
"ZW",1863
"PK",1850
"IE",1834
"GR",1830
"CH",1726
"KN",1726
"AG",1589
"SE",1521
"SD",1486
"GH",1387
"DK",1287
"GF",1283
"BQ",1243
"DZ",1242
"HR",1220
"NP",1210
"RO",1207
"OM",1181
"TR",1180
"SL",1179
"IL",1159
"KI",1125
"PY",1107
"EG",1089
"TW",1088
"MH",1087
"MEX",1041
"NL",1003
"PL",999
"AS",986
"IR",984
"WS",957
"BD",932
"GA",924
"NO",900
"ZM",800
"AO",798
"MN",786
"UY",766
"MS",749
"IQ",669
"SN",630
"HU",620
"AI",612
"SY",610
"GU",591
"TC",591
"TO",563
"VU",550
"SG",548
"CY",527
"LB",507
"SV",486
"NG",472
"PER",462
"EE",460
"SC",454
"JO",443
"FK",420
"SA",402
"KZ",383
"LY",376
"CF",363
"IS",361
"CK",357
"UZ",354
"TN",328
"MT",326
"SI",325
"SS",321
"LS",316
"CAN",295
"UA",293
"SH",276
"GTM",273
"COL",271
"GQ",250
"YE",249
"CI",240
"AW",236
"FRA",235
"PAN",199
"BA",198
"CG",194
"KH",191
"MP",189
"KG",187
"GW",186
"TM",185
"BI",170
"BW",165
"BG",161
"FI",159
"LBY",150
"AM",142
"GM",126
"RW",122
"GE",114
"SAU",113
"ER",110
"MV",109
"IO",108
"BJ",106
"ECU",99
"ME",94
"BRB",92
"EH",86
"RE",79
"KW",78
"SZ",76
"TG",76
"AL",74
"VEN",73
"AF",72
"BH",70
"GL",67
"KM",67
"TTO",66
"TJ",65
"GN",62
"SK",59
"ST",57
"AZ",52
"PR",49
"GBR",43
"ML",37
"BHS",34
"AE",32
"BN",30
"DOM",28
"TV",27
"FM",24
"TON",22
"RS",19
"BT",17
"LT",16
"MR",16
"WSM",16
"SWE",15
"DJ",14
"UM",14
"AUT",13
"ATG",11
"EGY",11
"FJI",11
"NLD",11
"DEU",10
"LU",10
"TD",10
"BF",8
"PRI",8
"HK",7
"ITA",7
"NE",7
"AUS",6
"CUB",6
"NCL",6
"QA",6
"BY",5
"MHL",5
"TK",5
"BMU",4
"CV",4
"IOT",4
"MC",4
"MNG",4
"TUN",4
"GRC",3
"IND",3
"NOR",3
"ALB",2
"ESP",2
"GI",2
"ISR",2
"KR",2
"LV",2
"NZL",2
"PW",2
"SLB",2
"SM",2
"SYR",2
"ATA",1
"CC",1
"CX",1
"GG",1
"JPN",1
"LA",1
"LI",1
"MNL",1
"RUS",1
"TL",1
"YT",1
