"country","reps"
"United States",2550342
"USA",1117362
"",704139
"UNITED STATES",320136
"Mexico",131226
"Canada",130271
"Papua New Guinea",76466
"Australia",74949
"Brazil",50338
"Panama",41405
"Cuba",39326
"Czech Republic",36308
"Haiti",35333
"Dominican Republic",32282
"China",30618
"Ecuador",28308
"Antarctica",26582
"South Africa",24996
"Germany",23606
"France",23579
"Colombia",23155
"Costa Rica",22191
"Philippines",21820
"Indonesia",21328
"Tanzania",20519
"United Kingdom",20220
"Peru",20123
"Chile",19889
"Jamaica",17294
"Bahamas",16275
"Madagascar",16111
"India",15646
"Japan",14811
"Pakistan",14485
"Kenya",13149
"Argentina",12972
"Democratic Republic of the Congo",12779
"Morocco",12747
"United State of America",12425
"Venezuela",11429
"Malaysia",11368
"Honduras",10894
"Commonwealth of the Bahamas",10365
"Solomon Islands",9794
"New Zealand",9547
"Italy",9193
"Guatemala",9023
"PANAMA",8928
"Russia",8518
"Bolivia",8293
"Spain",8249
"Thailand",7653
"Sweden",7579
"Republic of Trinidad and Tobago",7211
"JAMAICA",6897
"Mozambique",6022
"Bermuda",5909
"Uganda",5831
"[Higher geography: has not been verified and entered]",5265
"Virgin Islands of the United States",5147
"Belgium",4966
"England",4892
"Cameroon",4835
"Ireland",4728
"Egypt",4717
"Fiji",4694
"Suriname",4684
"Denmark",4588
"UNITED STATES OF AMERICA",4416
"ITALY",4330
"Barbados",4126
"Liberia",3905
"Austria",3883
"Martinique",3786
"CUBA",3721
"Grenada",3673
"Malawi",3652
"Guadeloupe",3574
"British Virgin Islands",3353
"Namibia",3310
"NIUE",3120
"French Polynesia",2984
"Algeria",2917
"Saudi Arabia",2831
"Antigua and Barbuda",2817
"Guyana",2719
"Pitcairn Island",2715
"Myanmar",2622
"Somalia",2601
"Greece",2556
"Sri Lanka",2542
"Mauritius",2518
"Paraguay",2498
"Puerto Rico",2411
"Switzerland",2363
"Gotland",2362
"Cayman Islands",2335
"Zimbabwe",2306
"Turkey",2264
"Portugal",2238
"Belize",2226
"British West Indies",2221
"Saint Lucia",2212
"Nicaragua",2193
"Vietnam",2193
"Marshall Islands",2171
"Federated States of Micronesia",2153
"High Seas",2147
"Laos",2124
"Ethiopia",2100
"Iran",2095
"Czechoslovakia",2087
"Dominica",2064
"New Caledonia",1991
"Palestine",1906
"Saint Vincent and the Grenadines",1877
"Scotland",1797
"Saint Kitts and Nevis",1754
"Unrecorded",1720
"Galapagos Islands",1655
"FRANCE",1604
"French Guiana",1593
"Poland",1565
"Israel",1554
"Nepal",1536
"Netherlands",1529
"Sudan",1494
"Norway",1467
"Ghana",1436
"Romania",1430
"Taiwan",1364
"Tunisia",1349
"CAYMAN ISLANDS",1305
"Oman",1283
"Croatia",1274
"Samoa",1269
"Bonaire, Sint Eustatius and Saba",1243
"Uzbekistan",1239
"Saint Vincent And the Grenadines",1205
"Mongolia",1195
"SPAIN",1185
"Sierra Leone",1182
"Kiribati",1180
"Cape Verde",1114
"Great Britain",1102
"MEXICO",1083
"Tonga",1077
"American Samoa",1044
"Trinidad",1033
"Angola",989
"Turks and Caicos Ilands",976
"Gabon",968
"Congo",953
"Trinidad and Tobago",951
"Saint Helena Island",938
"Montserrat",934
"Bangladesh",932
"Virgin Islands",917
"Yugoslavia",910
"VENEZUELA",903
"Senegal",895
"Greenland",887
"Uruguay",881
"Hungary",872
"Syria",866
"Mariana Islands",860
"AUSTRALIA",828
"Nigeria",816
"Zambia",803
"South Korea",790
"ANTIGUA",776
"El Salvador",757
"Commonwealth of The Bahamas",754
"Curacao",747
"Estonia",744
"Libya",727
"Lebanon",723
"Guam",721
"West Indies",696
"Iraq",687
"Republic of Palau",661
"Netherlands Antilles",655
"Anguilla",642
"Vanuatu",635
"COOK ISLANDS",608
"Singapore",604
"Turks and Caicos Islands",595
"Ascension Island",582
"POLAND",579
"NETHERLANDS",565
"Cyprus",544
"Jordan",497
"ENGLAND",494
"DENMARK",489
"Seychelles",485
"Republic of the Philippines",470
"Ukraine",467
"Iceland",464
"North Korea/South Korea",463
"Malta",437
"Falkland Islands",423
"PERU",412
"Kazakhstan",404
"United Kingdom of Great Britain and Northern Ireland",378
"Central African Republic",363
"Cook Islands",359
"Commonwealth of Australia",349
"CANADA",346
"East Timor",345
"Lesotho",336
"Slovenia",327
"Baltic Region",326
"South Sudan",321
"Bohemia",319
"China: People's Republic of China",309
"North Korea",308
"Saint Helena, Ascension and Tristan da Cunha",293
"CHILE",291
"Bolivia?",285
"BERMUDA",277
"GUATEMALA",275
"West Germany",270
"BAHAMAS",265
"Gulf of Mexico",262
"Yemen",254
"Wales",252
"Equatorial Guinea",251
"Aruba",246
"Armenia",240
"Ivory Coast",240
"HONDURAS",232
"GERMANY",227
"Azores",224
"People's Republic of China",223
"Bosnia and Herzegovina",208
"Soviet Union",208
"ARGENTINA",206
"Cambodia",200
"Undefined",196
"Africa",194
"Republic of the Congo",194
"Burma",193
"Northern Mariana Islands",189
"Guinea-Bissau",188
"Kyrgyzstan",188
"Turkmenistan",185
"unknown",180
"USSR",179
"Czechoslovacia",175
"Bhutan",174
"COLUMBIA",172
"Burundi",170
"Kenya/Tanzania/Zanzibar",170
"Botswana",165
"Finland",164
"Bulgaria",162
"Malaya",162
"CZECH REPUBLIC",160
"Russian Federation",159
"Venezuala",158
"COSTA RICA",155
"AUSTRIA",153
"Northern Mariana Islands and Guam",153
"LIBYA",152
"Turkestan",152
"WEST GERMANY",151
"Phillippines",144
"Afghanistan",143
"Eritrea",141
"New Hebrides",135
"South Yemen",133
"Brasil (Brazil)",132
"ECUADOR",132
"Gambia",132
"Democratic Republic of Congo",127
"Barbuda",125
"Antigua",123
"Maldives",123
"Rwanda",122
"no data",121
"Gilbert Islands",117
"Republic of France",117
"Georgia",115
"SAUDI ARABIA",113
"Slovakia",112
"COLOMBIA",111
"BELGIUM",110
"NEW ZEALAND",109
"British Indian Ocean Territory",108
"Kuwait",108
"HUNGARY",107
"Benin",106
"North Atlantic",105
"Phillipines",101
"Unites States",100
"Montenegro",94
"DOMINICAN REPUBLIC",93
"Guiana",93
"Papua New Guinea/Solomon Islands",92
"Western Sahara",90
"Holland",85
"Maylasia",85
"British Guiana",80
"Palau",79
"Réunion",79
"BARBADOS",78
"Swaziland",77
"FRENCH POLYNESIA",76
"Togo",76
"Prussia",75
"Saint Barthelemy",75
"Albania",74
"Atlantic Ocean",74
"BOHEMIA",74
"Virgin Islands, U.S.",74
"Palmyra Atoll",72
"Bahrain",71
"Micronesia, Federated States of",70
"Canada/United States",69
"Polynesia",69
"India?",68
"Comoros",67
"Federated States of Micronesia/Palau",67
"Guinea",67
"Lesser Antilles",65
"Tajikistan",65
"SOUTH AMERICA",64
"GRENADA",62
"Republic of the Fiji Islands",62
"Lithuania",61
"United States Minor Outlying Islands",61
"Manchuria",57
"Sao Tome and Principe",57
"Azerbaijan",55
"West Africa",54
"Zambia/Zimbabwe",53
"Atlantic Ocean, North",52
"Saint Helena",49
"MOROCCO",48
"Republic of Malta",48
"Republic of Mozambique",47
"Macedonia",43
"Republic of Panama",43
"United Arab Emirates",43
"EGYPT",42
"Italian Republic",42
"BOLIVIA",41
"Israel/Jordan",41
"Saint Thomas",41
"Madeira",40
"France/Italy",38
"Kingdom of Belgium",38
"Republic of Mauritius",38
"United Stated",38
"UNITED  STATES",38
"Hong Kong",37
"Mali",37
"Tibet",37
"Argentina/Chile",34
"usa",34
"Argentina/Patagonia",33
"Borneo",33
"Federal Republic of Germany",33
"HAITI",33
"ISRAEL",33
"Kingdom of Spain",32
"Brunei Darussalam",31
"Europe",31
"SCOTLAND",31
"NORWAY",30
"Patagonia",30
"Philippine Islands",30
"East Africa",29
"Germany/Poland",29
"Tuvalu",29
"Grenadines",28
"Republic of Indonesia",28
"Kingdom of Norway",27
"Qatar",27
"Democratic Socialist Republic of Sri Lanka",26
"Laos/Thailand",26
"Republic of Kenya",26
"Congo//Democratic Republic of the Congo/Rwanda",25
"M�xico",25
"Saba",25
"UNITED ARAB EMIRATES",25
"Angola/Namibia",24
"CHINA",24
"Mauritania",24
"Santo Domingo",24
"Serbia",24
"Himalayas",23
"Russia (USSR)",23
"Bolivia/Peru",22
"CZECHOSLOVAKIA",22
"Dominican republic",22
"Federative Republic of Brazil",22
"Java",22
"MALTA",22
"Ascension",21
"Bangladesh/India",21
"Djibouti",21
"French West Africa",21
"Micronesia",21
"New Guinea",21
"Pitcairn Islands",21
"SOUTH YEMEN",21
"Turks And Caicos Islands",21
"United States of America",21
"Andaman and Nicobar",20
"Comoro Islands",20
"INDONESIA",20
"New Grenada",20
"Republic of Cuba",20
"SOUTH AFRICA",20
"India/Nepal",19
"India/Pakistan",19
"Northern Ireland",19
"The Bahamas",19
"Arctic Ocean",18
"Brunei",18
"Israel/Palestine",18
"Wallis And Futuna",18
"France?",17
"Korea",17
"México",17
"Republic of Nauru",17
"Rwanda/Uganda",17
"Caucasus",16
"Jordan/Palestine",16
"LEBANON",16
"SEYCHELLES",16
"Caribbean Sea",15
"Dominican Republic/Haiti",15
"England?",15
"Germany?",15
"JAPAN",15
"Mongolia/Russia",15
"PORTUGAL",15
"SAMOA",15
"United Republic of Tanzania",15
"Asia Minor",14
"Howland Island and Baker Island",14
"Republic of India",14
"South America",14
"West Estonia Archipelago",14
"Caroline Islands",13
"French Equatorial Africa",13
"Hellenic Republic",13
"Madgascar",13
"Pacific Ocean",13
"Iran/Pakistan",12
"Kenya/Tanzania",12
"MADAGASCAR",12
"South Georgia and Sandwich Islands",12
"Trinidad and Tabago",12
"INDIA",11
"Luxembourg",11
"Mexico/United States",11
"Midway Islands",11
"Niger",11
"U.S.A.",11
"Chad",10
"Fiji Islands",10
"Iran/Turkmenistan",10
"Viet Nam",10
"East Indies",9
"Egypt/Sudan",9
"Erie, Ohio, United States",9
"France/Spain",9
"Guatamala",9
"Italy/Switzerland",9
"Kazakstan",9
"Kurdistan",9
"Mali/Senegal",9
"Palestine/Syria",9
"People's Republic China",9
"Republic of Austria",9
"RUSSIA",9
"YEMEN",9
"Burkina Faso",8
"Croatia/Serbia",8
"Crozet Islands",8
"GREAT BRITAIN",8
"Indian Ocean",8
"IRAN",8
"Kingdom of the Netherlands",8
"Queensland",8
"Saudi Arabia/Yemen",8
"Spanish Sahara",8
"Zimbabwe (Rhodesia)",8
"Cape Verde Islands",7
"Cote d'Ivoire",7
"Czech Republic/Germany/Poland",7
"EE. UU.",7
"Mediterranean Sea",7
"PACIFIC",7
"Republic of Costa Rica",7
"Republic of Kiribati",7
"Armenia/Azerbaijan/Georgia",6
"Cambodia/Vietnam",6
"China/Russia",6
"Congo, the Democratic Republic of the",6
"Costa Rica/Panama",6
"Ecuador/Peru",6
"Eire",6
"Indonesia/Malaysia",6
"Italy/Slovenia",6
"Kingdom of Sweden",6
"Korea, Republic of",6
"Malay",6
"North Africa",6
"Northern Saint Martin",6
"Oriental Republic of Uruguay",6
"Portuguese Republic",6
"Republic of Ireland",6
"S. Africa",6
"Sultanate of Oman",6
"united states",6
"WEST GERMANY (PRUSSIA)",6
"Arkansas",5
"Bavaria",5
"Belarus",5
"China/India/Pakistan",5
"China/Japan",5
"China/Mongolia/Russia",5
"French Southern and Antarctic Territories",5
"French West Indies",5
"Kenya/Uganda",5
"Kingdom of Thailand",5
"Latvia",5
"Lebanon/Syria",5
"New Granada",5
"Republic of Chile",5
"Republic of Peru",5
"Republic of Senegal",5
"Reunion",5
"Seychelles Islands",5
"Spratly Islands",5
"Switzerland?",5
"Tasmania",5
"Tokelau",5
"TRINIDAD AND TOBAGO",5
"TUNISIA",5
"Untied States",5
"URUGUAY",5
"Usa",5
"Afghanistan/China/Russia",4
"Australia/New Zealand",4
"Azerbaidjan",4
"Belgium?",4
"Ceska Republika",4
"Christmas Island",4
"Czech Republic/Poland",4
"Equador",4
"FIJI",4
"Grand Duchy of Luxembourg",4
"INDIAN OCEAN",4
"KENYA",4
"Kerguelen Island",4
"Moldavia",4
"Monaco",4
"MONGOLIA",4
"MYANMAR",4
"no info",4
"Norfolk Island",4
"Northern Caucasus",4
"Pakistan?",4
"PHILIPPINES",4
"PUERTO RICO",4
"Saint Vincent",4
"Scotland?",4
"South Africa/Swaziland",4
"ST. THOMAS",4
"Sudan/Uganda",4
"TURKEY",4
"United Arab Republic",4
"United States?",4
"Unknown",4
"USa",4
"Zaire",4
"ANGOLA",3
"Angola/Namibia/South Africa",3
"Argentina ?",3
"Argentina/Brazil/Uruguay",3
"Argentina/Uruguay",3
"Barbadoes",3
"BARBADOS, B.W.I.",3
"Bhutan/India",3
"Bonaire",3
"Bosnia and Herzegovina/Croatia",3
"Brazil/Peru",3
"California",3
"Cameroon/Nigeria",3
"Central America",3
"Cocos Islands",3
"Columbia",3
"Democratic Republic of the Congo/Uganda",3
"Dominican Republic/Puerto Rico",3
"Dutch East Indies",3
"Estonia/Latvia",3
