"disposition","reps"
"",4304327
"in collection",811233
"unknown",799816
"not applicable",301858
"In Collections",32490
"In Collection-Taxonomic Collection",8872
"PRESENT",5943
"on loan",4731
"In Collection-Site Collection",2581
"missing",1253
"SPECIMEN MISSING",345
"In Collection-Type/Figured",331
"On Loan",319
"Exhibits",195
"See occurrenceRemarks",177
"SLIDE MISSING",129
"UTEP",124
"Present",119
"ASU, DBG",104
"On Loan-Taxonomic Collection",72
"YC, ASU",72
"UGCA",70
"ASU",68
"ASU-1",67
"being processed",62
"QCNE",57
"SPECIMEN LOST",53
"Missing",44
"DES, ARIZ, ASC",43
"deaccessioned - exchanged",27
"ASC",26
"MISSING",25
"YC, ASU, DBG",22
"HUEFS, UTEP",17
"Simthsonian Institution (US); AS",17
"DES",15
"DES, ARIZ, ASC, NA",12
"Smithsonian Institution (US); AS",12
"deaccessioned - discarded",10
"WVA",10
"NSW",9
"NY, UTEP",9
"ARIZ, UTEP",8
"CR, INB, USJ, UTEP",8
"ID, UTEP, WVA",8
"CR, INB, RSA, USJ, UTEP",7
"DES, ARIZ",7
"DES, ARIZ, ASC, NO, NA",7
"SGO",7
"Smithsoinian Institution (US); A",7
"Smithsonian Institution (US), AS",7
"ASC, ASU",6
"BRIT, UTEP",6
"DES, ARIZ, ASC, NA, NY, UCR, MSC",6
"DES, NY, UTEP",6
"On Loan (in part)",6
"BRIT, ID, UMO, UTEP, WVA",5
"CR, INB, USJ",5
"CS, NMC, UTEP",5
"CS, NY, UTEP",5
"CS, UTEP",5
"NMC, UTEP",5
"OSC, UTEP",5
"SD, UTEP",5
"ANSM, MBM, UTEP",4
"BRY, UTEP",4
"DES, ARIZ, ASC, NO",4
"DES, MSC, NY, UTEP",4
"DES, MSC, UTEP",4
"ID, NY, UTEP, WVA",4
"ID, OS, UMO, UTEP",4
"ID, OS, UMO, UTEP, WVA",4
"NO, OSC, SD",4
"OS, UTEP",4
"OS, WVA",4
"retention from CMNH#2285",4
"ARIZ",3
"ARIZ, DES, UTEP",3
"ARIZ, ID, NY, UMO, UTEP, WVA",3
"ASU, QCNE",3
"BRIT, CTES, MSC, NA, UMO, UTEP",3
"BRIT, DES, MSC, UTEP",3
"BRY, UCR, UTEP",3
"CANB, CTES, HUEFS, OSC, UTEP",3
"CANB, HUEFS, UTEP",3
"CS, DES",3
"CS, MSC, UTEP",3
"CTES, MBM, UTEP",3
"DES, ARIZ, ASC, MEXU",3
"DES, ARIZ, ASC, NO, NA, NY, UCR",3
"DES, UTEP",3
"ID, NY, UMO, UTEP, WVA",3
"MSC, NA",3
