"geodeticDatum","reps"
"",3970205
"WGS84",1677550
"unknown",270006
"WGS 84",64406
"NAD27",60977
"EPSG:4326",56029
"AGD66",36864
"not recorded",32697
"World Geodetic System 1984",28949
"not recorded (forced WGS84)",19182
"NAD 27",19156
"NAD83",10251
"WGS 1984",7143
"WGS84/NAD83",6862
"1927",5200
"NAD 1927",4254
"North American Datum 1927",3123
"World Geodetic System 1972",559
"GDA94",498
"World Geodetic System 1966",472
"PRP_M",310
"Clarke 1858",256
"NAD27 CONUS",224
"WGS",181
"WGS1984",170
"WGs84",145
"NAD 83",108
"Unknown",106
"WGS72",99
"North American Datum 1983",88
"NAD27, CONUS",62
"Japanese Geodetic Datum 2000",33
"NAD83/WGS84",29
"NAD 27 CONUS",27
"NAD84",24
"h",23
"(NAD 83)",17
"NAD 1983",15
"(NAD 27)",14
"NAD1983",13
"WGA84",13
"WGS84, Google Earth",11
"Google Earth Estimate",9
"WGS-1984",9
"NAD 83/WGS84",7
"NWS84",6
"Google",5
"5000",4
"200",3
"Fundamental de Ocotepeque",3
"GeoBasis-DE/BKG",3
"N/A",3
"Nad 27",3
"WGS 1972",3
"MIN.03673",2
"(NAD27)",2
"(NAD27 CONUS)",2
"(NAD84)",2
"North American 1983",2
"Restricted Data",2
"unk",2
"=",1
"1780",1
"29019",1
"50000",1
"600",1
"745532E 3970327N",1
"DMS:",1
"GEOBases-DE",1
"GeoBasis-DE",1
"(GPS, WGS 84)",1
"NAD 28",1
"NAD8",1
"(NAD 84)",1
"NAD85",1
"North American 1927",1
"WG84",1
"WGS83",1
"WGS-84",1
"WGS 84, NAD83",1
"WGS87",1
"WGSTRS: T15N R06E84",1
