"identificationQualifier","reps"
"",6138608
"A",62004
"sp.",40426
"CF.",12135
"A sp.",6590
"cf.",6030
"A cf.",2440
"in question",1844
"genus in question",1188
"A or B",936
"A ?",845
"cf",669
"A {string}",513
"aff.",425
"?",375
"species in question",373
"sp. nov.",149
"AFF.",116
"(?)",106
"var.",91
"forma pterocarya",51
"B",37
"aff",32
"id in question",31
"cf, A",30
"indet.",30
"forma cycloptera",22
"var B",16
"cf, B",13
"sp. A.",11
"ser.",10
"var",9
"towards H. eastwoodiae",8
"dc.",7
"or Eleocharis palustris",7
"CF",6
"cf, var A",6
"unknown cultivar",6
"x Agave chrysantha",6
"var A",5
"April",4
"Cylindro type;",4
"n.var.",4
"subgenus Poiophylii",4
"etc.",3
"forma truncata",3
"hybrid",3
"n. sp.",3
"or Eleocharis montevidensis",3
"or Juncus mexicanus",3
"pyriform",3
"sp. B",3
"x Agave mckelveyana",3
"affin.",2
"August",2
"'Blue Elf'",2
"B. sp. cf. conferta",2
"cf, var B",2
"cultivar",2
"forma hastata",2
"hybrid between P. ternifolia x P. wrightiana",2
"Hymenoptera?",2
"intermediate between var. polycephalus and var. xeranthemoides",2
"intermediate between var. polycephalus & var. xeranthemoides",2
"Intermediate to E. navajoensis",2
"Male cultivar",2
"May",2
"Morphologically intermediate to E. engelmannii ssp. fasciculatus",2
"needs attention",2
"or Juncus dudleyi",2
"x Agave parryi",2
"x C. arbuscula",2
"x C. multigeniculata",2
"x C. versicolor",2
"x Cylindropuntia echinocarpa",2
"x Cylindropuntia ganderi var. ganderi",2
"x Escobaria sneedii",2
"x putus",2
"`",1
"???",1
"+",1
"12 apr 9",1
"169013",1
"169020",1
"169022",1
"174292",1
"174322",1
"22",1
"A, aff. alpinus",1
"af",1
"aff., 2 sp.",1
"aff, var",1
"appr. I. acradenia",1
"Approaching E. leptocladon var. ramosissimum",1
"backcross with E. coccineus",1
"Black Jade cultivar",1
"c",1
"? cf.",1
"?, cf.",1
"c.f.",1
"cf. coccinea",1
"cf. fremontii",1
"cf. humilis var. mexicana",1
"cf. micrantha",1
"cf. N.",1
"cf \Opuntia nopalea\",1
"cfr.",1
"cf. sp. B",1
"cf., var.",1
"cf. yatuae",1
"C. Merbs cultivar",1
"columbiensis",1
"confirmation needed, but not R. occidentalis as originally determined",1
"Coral",1
"cu. aurea",1
"cultivar torulosa",1
"cultivated bean",1
"Cultivated chile",1
"Cultivated squash",1
"cylindropuntia",1
"dc. Var.",1
"distorted",1
"Echinoid",1
"(> E. divergens)",1
"Ephemoptera?",1
"f. aurantiaca",1
"f. corallicola",1
"fistulosis",1
"forma aurantiaca",1
"forma elliptica",1
"forma gracilis",1
"forma pseudocycloptera",1
"forma sphaerocephalus",1
"genus is possibly synonym of Ixion Reitter 1872",1
"Hawaiian orchid",1
"H. repens? H. mutica?",1
"hybrid 'Snowdrift'",1
"hybrid with E. fendleri",1
"iamonensis",1
"iamonesis",1
"ind.",1
"intermediate",1
"Intermediate between var. polycephalus and var. xeranthemoides",1
"intermediate to E. engelmannii ssp. fasciculatus",1
"intermediate with var. rosei",1
"introgressing with R. indecorum",1
"jlkjkjjkhh",1
"juvenile form",1
"Lyle McGil",1
"may be introgressed with P. schenkiarum",1
"Myrcia aff",1
"need attention",1
"Nepionic gastropod",1
"ns?",1
"n var",1
"obviously backcrossed into E. coccineus",1
"orr",1
"oval form",1
"perhaps",1
"pinyon?",1
"platyopunita",1
"possible hybrid x O. phaeacantha",1
"possibly introgressed with C. ramosissima",1
"probably",1
"probably coulteri",1
"Pseudo",1
"S",1
"S.L. Hatch",1
"sp. \hoazontle\",1
"spines",1
"ssp. grande",1
"ssp. stonbergeii",1
"standl.",1
"stromatolite",1
"sw.",1
"Tanymykter",1
"?Tanymykter",1
"Tanymykter?",1
"towards var. alpina",1
"Towards var. hispida",1
"und.",1
"?, var.",1
"var. A",1
"var. A and B",1
"var. dulce",1
"var. gnaphalodes",1
"var. gracilis",1
"var. indica",1
"var. leucocarpus",1
"var. p.?",1
"var. sativa",1
"with possible influence from nearby Agave parryi",1
"with some A. chrysantha influence",1
"wr.",1
"x",1
"x ?",1
"x A. chrysantha",1
"x A. deserti",1
"X Agave chrysantha",1
"x Agave utahensis",1
"x Agave utahensis ssp. utahensis",1
"x Agave utahensis subsp. utahensis",1
"x Agave victoriae-reginae",1
"x Agave vilmoriniana",1
"x A. mckelveyana",1
"x Anisacanthus linearis",1
"x A. parryi",1
"x C. whipplei var. whipplei",1
"x Cylindropuntia arbuscula",1
"x Cylindropuntia leptocaulis",1
"x Cylindropuntia lindsayi",1
"x Cylindropuntia tesajo",1
"x Cylindropuntia versicolor",1
"x E. divergens?",1
"x Opuntia stricta",1
"x parryi",1
"x Phoenix dactylifera",1
"x P. pseudoputus",1
"x Psidium brownianum",1
"x Quercus turbinella",1
"x speciosus",1
"x Verbena menthaefolia",1
"x vestita",1
