"index.typestatus","reps"
"",5887712
"paratype",98143
"holotype",49974
"hypotype",38506
"syntype",25018
"publ",16091
"type",12245
"figured",8286
"fig",4647
"plesiotype",3464
"homeotype",3203
"paralectotype",3039
"cited",2504
"paratype of gastrotheca boliviana griswoldi",1893
"illustrated",1686
"hypodigm",1661
"mentioned",1410
"topotype",1371
"lectotype",1246
"referred",1201
"cotype",1170
"plastoholotype",979
"plastotype",965
"paratype of batrachylodes elegans",887
"paratype of batrachylodes mediodiscus",878
"paratype of sphenomorphus leptofasciatus",743
"non-type",631
"isotype",614
"paratype of gonatodes atricucullaris",522
"measured",504
"topotype of sphaerodactylus townsendi",473
"y",464
"plastoparatype",395
"voucher of <a href=\http://arctos.database.museum/name/notiosorex dalquesti\>notiosorex dalquesti</a>, page 162 in <a href=\http://arctos.database.museum/publication/10005486\>carraway 2010</a>",321
"paratype of sphenomorphus tanneri",317
"plastosyntype",303
"paratype of sphenomorphus brunneus",277
"figured and cited",252
"thesis/dissertation",228
"neotype",208
"paratype of austrochaperina derongo",208
"paratype?",181
"paratype of eleutherodactylus bakeri heminota",181
"paratype of acutotyphlops kunuaensis",180
"isoparatype",170
"syntype of archaeoplax signifera",169
"genetic voucher of anolis cybotes",168
"paratypes",157
"paratype of phrynomantis humicola humicola",150
"genetic voucher of anolis carolinensis",139
"paratype of phyllodactylus reissii",138
"paratype of anolis distichus suppar",136
"holotype; holotype",133
"type?",133
"paratype of anolis oculatus winstoni",132
"plastohypotype",132
"paratype? of loveridgea ionidesii",131
"plas",126
"type of rhepocoris praevalens",125
"metatype",124
"paratype of sarothrocrepis papua",122
"voucher of cryptolithus tessellatus",122
"syntype?",120
"typodigm",119
"voucher of <a href=\http://arctos.database.museum/name/aztlanolagus agilis\>aztlanolagus agilis</a>, page 639 in <a href=\http://arctos.database.museum/publication/10004548\>russell and harris 1986</a>",114
"paratype of anolis oculatus cabritensis",110
"topotype of chamaeleo fischeri multituberculatus",109
"paratype of oxydactyla stenodactyla",106
"plasto-holotype",106
"paratype of anolis wattsi schwartzi",105
"hypotype?",103
"paratype of scolecomorphus uluguruensis",101
"paratype of anolis marcanoi",95
"paratype of oxydactyla alpestris",95
"holotype?",94
"genetic voucher of craterostigmus tasmanianus",93
"paratype of phrynobatrachus ukingensis nyikae",93
"paratype of emoia physicina",91
"paratype of eremias savagei",91
"basis of illustration of <a href=\http://arctos.database.museum/name/equus\>equus</a> in <a href=\http://arctos.database.museum/publication/10006666\>mann et al. 2013</a>",90
"paratype of anolis roquet summus",90
"pl-holotype",89
"paratype; paratype",86
"plasto-hypotype",85
"type of rhepocoris propinquans",85
"voucher of canadaspis perfecta",82
"voucher of ectenocrinus simplex",82
"voucher",80
"basis of illustration of <a href=\http://arctos.database.museum/name/ovibos\>ovibos</a> in <a href=\http://arctos.database.museum/publication/10006666\>mann et al. 2013</a>",79
"fig.",79
"paratype of microtus enixus",79
"syntype of oreodytes cryptolineatus statz, 1939",76
"paratype of anolis roquet zebrilus",73
"syntype of anolis conspersus",72
"voucher of <a href=\http://arctos.database.museum/name/phrynosoma douglassi\>phrynosoma douglassi</a>, page 35 in <a href=\http://arctos.database.museum/publication/10007633\>holman 1970</a>",71
"paratype of phyllodactylus phacophorus",70
"paratype of sphaerodactylus danforthi",70
"paratype of stenocercus huancabambae",70
"paratype of ameiva chrysolaema secessa",68
"paratype of eleutherodactylus furcyensis",68
"voucher of iocrinus trentonensis",67
"syntype of anolis vincentii trinitatus",66
"type of palecphora praevalens",66
"voucher of <a href=\http://arctos.database.museum/name/thamnophis\>thamnophis sp.</a> sp., page 37 in <a href=\http://arctos.database.museum/publication/10007633\>holman 1970</a>",66
"cheirotype",65
"paratype of anolis nelsoni",65
"paratype of anolis wattsi pogus",65
"paratype of anolis roquet majolgris",63
"paratype of tabanus itzarum",63
"type series",63
"voucher of cincinnaticrinus varibrachialus",62
"paratype of anolis marmoratus girafus",61
"paratype of anolis marmoratus setosus",61
"paratype of anolis oculatus montanus",61
"paratype of eleutherodactylus eileenae",61
"hypotype.",59
"hypotypes",58
"paratype of hyperolius mariae",58
"paratype of anolis bahorucoensis southerlandi",57
"paratype of anolis strahmi abditus",57
"paratype of anolis vanidicus vanidicus",57
"paratype of lasius crypticus",56
"paratype of anolis marmoratus desiradei",55
"paratype of anolis roquet salinei",55
"basis of illustration of <a href=\http://arctos.database.museum/name/rangifer\>rangifer</a> in <a href=\http://arctos.database.museum/publication/10006666\>mann et al. 2013</a>",54
"paratype of anolis marmoratus inornatus",54
"paratype of gastrotheca monticola",53
"paratype of ochotona saxatilis",53
"paratype of eleutherodactylus gossei",52
"genetic voucher of zalmoxis",51
"paratype of aspidoscelis neavesi",51
"paratype of lepidoblepharis barbouri",51
"paratype of natrix olivacea uluguruensis| additional material of natrix olivacea uluguruensis",51
"paratype of tribolonotus pseudoponceleti",51
"voucher of ceraurus pleurexanthemus",51
"paratype of sphaerodactylus copei websteri",50
"paratype of agama agama elgonis",49
"topotype of boulengerula boulengeri",49
"type of tipula florissanta",49
"paratype of anolis longitibialis specuum",48
"paratype of chirindia rondoensis",48
"voucher of malacosteus niger",48
"paratype of hoplophryne uluguruensis",47
"plasto-cotype",47
"paratype of lasius sitiens",46
"topotypes",46
"voucher of <a href=\http://arctos.database.museum/name/nothrotheriops shastensis\>nothrotheriops shastensis</a>, page 656 in <a href=\http://arctos.database.museum/publication/10007812\>mcdonald and morgan 2011.</a>",46
"paratype of anolis olssoni insulanus",45
"paratype of boulengerula uluguruensis",45
"paratype of pheidole rectispina",45
"paratype of phrynobatrachus alleni",45
"syntype of camponotus darlingtoni",45
"basis of illustration of <a href=\http://arctos.database.museum/name/mammuthus\>mammuthus</a> in <a href=\http://arctos.database.museum/publication/10006666\>mann et al. 2013</a>",44
"morphotype",44
"paratype of eleutherodactylus urichi euphronides",44
"paratype of sphaerodactylus difficilis lycauges",44
"paratype of sphaerodactylus macrolepis inigoi",44
"basis of illustration of <a href=\http://arctos.database.museum/name/bison\>bison</a> in <a href=\http://arctos.database.museum/publication/10006666\>mann et al. 2013</a>",43
"paratype of anolis distichus properus",43
"paratype of emoia physicae purari",43
"paratype of heliconius charitonius ramsdeni",43
"genetic voucher of anolis cybotes| genetic voucher of anolis cybotes",42
"genetic voucher of pachytriton granulosus",42
"paratype of leiocephalus personatus lunatus",42
"topotype of loveridgea ionidesii",42
"topotype of zygodontomys seorsus",42
"voucher of <a href=\http://arctos.database.museum/name/neotoma pygmaea\>neotoma pygmaea</a>, page 564 in <a href=\http://arctos.database.museum/publication/10004544\>harris 1984</a>",42
"voucher of manducus maderensis",42
"voucher of phrynobatrachus auritus",42
"paratype of agama mossambica montana",41
"paratype of leiocephalus schreibersi nesomorus",41
"paratype of mustela cicognanii mortigena",41
"paratype of tabanus pseudoculus",41
"voucher of bryograptus",41
"voucher of pentremites rusticus",41
"voucher of phrynosoma douglassi, page 35 in <a href=\http://arctos.database.museum/publication/10007633\>holman 1970</a>",41
"paratype of colostethus mittermeieri",40
"voucher of <a href=\http://arctos.database.museum/name/notiosorex harrisi\>notiosorex harrisi</a>, page 163 in <a href=\http://arctos.database.museum/publication/10005486\>carraway 2010</a>",40
"voucher of uintacrinus socialis",40
"paratype of eleutherodactylus cundalli",39
"paratype of eleutherodactylus pantoni",39
"paratype of euspondylus josyi",39
"paratype of tachys latissimus tinctus",39
"voucher of cryptolithus lorettensis",39
"paralectotype of leptodactylus validus",38
"paratype of <a href=\http://arctos.database.museum/name/ugrunaaluk kuukpikensis\>ugrunaaluk kuukpikensis</a> in <a href=\http://arctos.database.museum/publication/10007841\>mori et al. 2016</a>",38
"paratype of eleutherodactylus greyi",38
"paratype of epicauta normalis",38
"paratype of esenbeckia illota osornoi",38
"paratype of liguus crenatus barbouri",38
"paratype of sorex personatus miscix",38
"pl-hypotype",38
"syntype of ithomia hamlini",38
"topotype and holotype",38
"topotype of chamaeleo fischeri fischeri",38
"voucher of <a href=\http://arctos.database.museum/name/cynomys gunnisoni\>cynomys gunnisoni</a>, page 36 in <a href=\http://arctos.database.museum/publication/10007624\>goodwin 1995</a>",38
"paratype of anolis hendersoni ravidormitans",37
"paratype of anolis homolechis jubar",37
"paratype of emoia maculata",37
"paratype of eurema dina helios",37
"paratype of sphaerodactylus townsendi",37
"syntype of pelopia thienemanni (statz, 1944)",37
"paratype of celestus costatus oreistes",36
"paratype of eleutherodactylus cundalli glaucoreius",36
"paratype of liguus fasciatus viridis",36
"paratype of pheidole nebulosa",36
"type of geralophus lassatus",36
"type of tipula clauda",36
"paratype of ansonia longidigita longidigitata",35
"paratype of pheidole juniperae",35
"paratype of sphaerodactylus nicholsi",35
"syntype of arnioceras obtusiforme",35
"syntype of chrysemys picta marginata",35
"syntype of myrmica wheeleri",35
"paratype of anolis hendersoni dolichocephalus",34
"paratype of arthroleptis stenodactylus whytii",34
"paratype of litoria spinifera",34
"paratype of pheidole laselva",34
"syntype of ameiva aquilina",34
