"island","reps"
"",6039845
"Hispaniola",38125
"Cuba",33406
"Bougainville Island",20067
"New Guinea",18937
"Puerto Rico",13158
"Jamaica",12226
"Borneo",6713
"Java",4587
"Trinidad",3744
"Long Island",2766
"Guadalcanal Island",2451
"Saint Croix",2273
"Oahu",2031
"Hong Kong Island",1918
"Saint Thomas",1744
"Luzon Island",1549
"Sumatra",1524
"Saint Vincent",1396
"Sulawesi Island",1384
"Mindoro Island",1358
"New Providence",1195
"Grand Cayman",1174
"Saint Kitts Island",1117
"Mindanao Island",1050
"Tobago",991
"Honshu Island",963
"Bonaire",939
"Pohnpei Island",870
"Bimini Islands",799
"Greenland",798
"Trinidad Island",791
"Viti Levu Island",751
"Lamu",744
"Tortola Island",732
"Cayman Brac",726
"Montserrat Island",700
"Antigua Island",689
"Great Abaco Island",672
"Curacao",671
"Cat Island",658
"San Miguel",652
"Isla de la Juventud",625
"Nantucket",625
"Negros Island",608
"Palawan Island",602
"North Island",574
"Saint Martin",560
"Saint John",554
"Yaeyama Islands, Ishigaki Island",552
"Southern Cook Islands",529
"Isla de Vieques",518
"Madeira",513
"Monomoy Island",491
"Nevis Island",470
"Bahama Islands",460
"Newfoundland",458
"Santa Cruz Island",439
"Calvert Island",424
"Kodiak Island",422
"Inagua Island",412
"Andros Island",399
"Exuma Island",393
"Muskeget Island",389
"Tutuila Island",385
"Chuuk Islands",369
"Guadalupe",369
"Sulawesi",363
"Isla de Culebra",359
"Tahiti",353
"Saaremaa",349
"Marthas Vineyard",336
"Shelter Island",328
"Basilan Island",326
"Seram Island",325
"San Clemente",314
"Halmahera Island",308
"Roatan Island",306
"Vancouver Island",293
"Flores Island",290
"Guana Island",286
"Upolu Island",284
"Crete",283
"Saturna Island",282
"New Ireland",279
"Barbuda Island",273
"Sanibel Island",273
"Anegada Island",266
"Yap Island",265
"Savai'i",261
"Saba",257
"Tasmania",252
"Little Cayman Island",248
"Grand Bahama",241
"Molokai",240
"Aruba",234
"South Island",226
"Peleng Island",225
"San Jose",221
"Zanzibar",220
"Basse-Terre Island",208
"Sakhalin Island",204
"Nggela Sule Island",202
"Sao Tiago",201
"Virgin Gorda",201
"Rum Cay/San Salvador",200
"Espiritu Santo",198
"Sao Miguel",198
"Malta",194
"South Caicos",194
"Naushon Island",193
"Nias Island",192
"Ambon Island",191
"Barro Colorado Island",188
"Cumberland",184
"Mt. Desert",175
"Timor Island",175
"Ofu-Olosega",174
"Cobb Island",173
"Eua Island",173
"Saboga",172
"Idjwi",169
"Kauai",169
"Abaco Islands",168
"Saint Helena Island",167
"East Falkland",164
"Gran Canaria",164
"Choiseul Island",161
"Grand Manan Island",161
"West Falkland",160
"Isla Margarita",157
"Tau Island",155
"Anticosti Island",153
"Taliabu Island",153
"Isla de Mona",152
"Seymour",151
"Sapelo Island",147
"San Andres y Providencia",146
"Grande-Terre",145
"Maui",144
"Emirau Island",141
"Marie Galante",139
"Eleuthera Island",135
"Cedros",134
"Raiatea",133
"Laysan",130
"Corsica",127
"Dry Tortugas",126
"Marajo",126
"Lantau Island",124
"Lubang Island",124
"Carriacou Island",121
"Navassa Island",117
"Suemez Island",114
"Hokkaido Island",113
"Ukerewe",110
"Vavau Islands",110
"Bali",108
"Crooked Island",107
"Diego Garcia Island",105
"Honshu",105
"Utila",104
"Leyte Island",103
"Providenciales Island",102
"Baffin Island",99
"Fogo Island",96
"Santo Antao",95
"Tongatapu Island",95
"Bacan Island",94
"Santa Isabel Island",94
"Lifou Island",93
"Ossabaw Island",92
"Chiloe",91
"Jeju Island",90
"Faial",88
"Santa Cruz",88
"Sulu Archipelago",87
"South Andaman Island",86
"Great Britain",85
"Saint Lawrence",85
"Isabela",84
"Key Largo",84
"North Pagai Island",84
"Santa Catalina Island",83
"Unimak Island",83
"Tenerife",82
"Saint Helena",81
"Kent Island",79
"Saipan",79
"Saint Paul Island",78
"Tulagi Island",77
"Majorca",76
"Maratua Island",76
"Viti Levu",76
"Great Inagua Island",75
"Pico",75
"Rey",75
"Saint Barthelemy",75
"Buru Island",74
"Hawaii",74
"Makira Island",74
"Ternate Island",73
"Amak Island",72
"San Nicolas",72
"Tugidak Island",71
"Union Island",71
"Baranof",69
"Babeldaob Island",68
"Brava",68
"Sao Vicente",68
"Sledge",68
"Grand Turk",67
"San Cristobal",67
"Grande Terre Island",66
"Key West",66
"Unalaska Island",66
"Miyake-jima Island",65
"Nueva Esparta",64
"Moorea Island",63
"Gorgona",62
"Madagascar",61
"Saint Catherine Island",61
"Tuckernuck Island",61
"Amchitka Island",60
"Anastasia",60
"Sao Nicolau",60
"Cebu Island",59
"Kiska",59
"Mayaguana Island",59
"New Britain Island",59
"Maio",58
"Manus Island",58
"Nosy Ngontsy",58
"Lord Howe Island",57
"Medny Island",57
"Taboga",57
"Lakeba Island",56
"Penikese",56
"Waigeo Island",56
"Boa Vista",55
"San Benito",55
"Santa Maria",55
"Bequia",54
"Shikoku Island",54
"Sitkinak Island",53
"Biak Island",52
"Block Island",52
"Graham Island",52
"Kyushu Island",52
"Marinduque Island",52
"Tortola",52
"Cocos Island",51
"Nosy Mangabe",51
"Green Island",50
"Herschel Island",50
"Prince of Wales",50
"Sullivans",50
"Tahaa",50
"Iles des Saintes",49
"Ebon Atoll",48
"Sumbawa Island",48
"Robinson Crusoe Island",47
"Sint Eustatius",47
"West Wallabi Island",47
"Bird Rock Island",46
"Carmen",46
"Nuku Hiva",46
"Ragged Island",46
"Cape Breton Island",45
"Santiago",45
"Cedar Keys",44
"Jost Van Dyke Island",44
"Komodo Island",44
"Merritt",44
"Saint George Island",44
"Unga Island",44
"Los Coronados",43
"Manda",43
"Porto Santo",43
"Chappaquiddick",42
"Sumba Island",42
"Baltra Island",41
"Obi Island",41
"Prince of Wales Island",41
"Simeulue Island",41
"Nananu-i-Ra Island",40
"Rarotonga",40
"Swan",40
"Yapen Island",40
"Easter Island",39
"Lanzarote",39
"Norman Island",39
"Réunion Island",39
"Savo Island",39
"Terceira",39
"Adak Island",38
"Bahrain Island",38
"Romblon Group",38
"Sal",38
"Bohol Island",37
"Bora Bora Island",37
"Cornwallis Island",37
"Rusinga",37
"Santa Barbara",37
"Siquijor Island",37
"Genovesa",36
"Herschel",36
"Amami Islands, Amami Oshima Island",35
"Lombok Island",35
"One Tree Island",35
"Saint Matthew Island",35
"Atka Island",34
"Pemba Island",34
"Queen Charlotte Island",34
"Samar Island",34
"San Andres",34
"Volcano Islands, Iwo Jima Island",34
"Attu Island",33
"Aunu'u Island",33
"Bering Island",33
"Cabra Island",33
"Floreana",33
"Ibiza",33
"Nelson",33
"Providencia",33
"South Georgia",33
"Tinian",33
"Cape Sable Island",32
"Great Corn",32
"Minorca",32
"Natividad",32
"Reunion Island",32
"Saint Lawrence Island",32
"Sibutu Island",32
"Vate",32
"Chatham Island",31
"Palau",31
"Cayo Mayor",30
"Cayo Menor",30
"Izu Oshima Island",30
"Panay Island",30
"Rennell Island",30
"Aristazabal Island",29
"Chichagof Island",29
"Duke of York Island",29
"Fakarava Atoll",29
"Kosrae Island",29
"Nii-jima Island",29
"Niue Island",29
"Zealand",29
"Espanola",28
"Grahams",28
"Iturup",28
"Kayak Island",28
"Labuan Island",28
"Petit Martinique Island",28
"Principe Island",28
"Rottnest",28
"Spitsbergen",28
"Baltra",27
"Catanduanes Island",27
"Chichi-jima Island",27
"Ellesmere Island",27
"Ladies",27
"Wolf Island",27
"Acklins Island",26
"Bill Of Portland Island",26
"Bird Island",26
"Campobello Island",26
"Iona Island",26
"Kisar Island",26
"Long",26
"Male Atoll",26
"Martinique",26
