"nomenclaturalCode","reps"
"ICZN",3131256
"",2907255
"ICBN",160917
"bone",11806
"exoskeleton",6966
"noncompliant",3865
"tooth, molar",3405
"tooth",2902
"dentary",2739
"phalanx",2531
"vertebra",2249
"humerus",2003
"rib",1451
"tree core",1390
"femur",1363
"skull",1313
"tibia",1147
"tooth, molar; dentary",1111
"trace fossil",1110
"scapula",1077
"radius",962
"vertebra, cervical",954
"innominate",929
"metatarsal",915
"unknown",886
"ulna",870
"vertebra, thoracic",858
"metacarpal",816
"maxilla",756
"centrum, caudal",746
"centrum",733
"dentary; tooth, molar; tooth, premolar",700
"leaf",609
"astragalus",585
"tooth, premolar",557
"calcaneum",518
"tooth, incisor; tooth, molar; dentary",511
"antler",509
"neural arch",493
"tarsometatarsus",475
"long bone",463
"vertebra, lumbar",414
"maxilla; tooth, molar",403
"metapodial",364
"tendon, ossified",353
"dentary; tooth, incisor",349
"sediment",348
"neural spine",345
"dentary; tooth, molar; tooth, incisor",337
"tibiotarsus",297
"tibiofibula",295
"frontal",286
"horn",272
"vertebra, atlas",272
"coracoid",268
"skeleton, postcranial",250
"tooth, incisor",247
"carpal",245
"chevron",223
"fibula",218
"ungual",218
"skeletal element",212
"tooth; dentary",212
"carpometacarpus",207
"mandible",200
"tarsal",200
"cranium",179
"vertebra, axis",174
"vertebra, caudal",171
"sacrum",169
"tusk",154
"tooth, molar; tooth, premolar; dentary; tooth, incisor",149
"ilium",139
"squamosal",135
"tooth, premolar; dentary",135
"parietal",131
"tooth, incisor; dentary",127
"premaxilla",120
"guard",119
"quadrate",116
"maxilla; tooth, molar; tooth, premolar",111
"stem",111
"dentary; tooth, molar; tooth, premolar; tooth, incisor",108
"sternum",102
"radioulna",101
"zygapophysis",96
"scute",82
"tooth, molar; maxilla",77
"bill",76
"carapace",75
"tooth, canine",75
"tooth, molar; tooth, incisor; tooth, canine; tooth, premolar; dentary",73
"tooth, premolar; maxilla; tooth, molar",73
"palate",65
"skull; tooth, molar; tooth, premolar",64
"skull; tooth, molar; tooth, incisor",62
"jugal",61
"skull; tooth, canine; tooth, premolar; tooth, molar; tooth, incisor",58
"rib, dorsal",55
"plastron",53
"dentary; tooth, incisor; tooth, molar; tooth, premolar; tooth, canine",51
"furculum",50
"synsacrum",50
"tympanic bulla",50
"premaxilla; tooth, incisor",47
"ischium",44
"basioccipital",42
"spine",42
"vertebra, dorsal",42
"cuneiform",41
"patella",40
"skull; tooth, molar",40
"lithified wood",36
"metacarpal; metacarpal sample",35
"navicular",35
"naviculo-cuboid",35
"dentary; tooth, molar; tooth, premolar; tooth, canine",33
"surangular",31
"scale",30
"wing",30
"centrum, dorsal",29
"neural arch, caudal",29
"neural arch, cervical",29
"cuboid",28
"trace fossil; trace fossil",28
"transverse process",28
"seed",27
"tooth, molar; tooth, canine; tooth, premolar; dentary",27
"palate; tooth, molar",26
"postorbital",26
"pubis",26
"tooth, fang",26
"nasal",25
"tooth, incisor; tooth, premolar; dentary",25
"tooth, premolar; maxilla",25
"humerus; humerus sample",24
"magnum",24
"maxilla; dentary",24
"maxilla; tooth, premolar",24
"tooth, incisor; premaxilla",24
"exoccipital",23
"metatarsal; metatarsal sample",23
"urostyle",22
"maxilla; tooth",21
"occipital condyle",21
"osteoderm",21
"pelvic girdle",21
"skull; dentary",21
"palate; tooth, molar; tooth, premolar",20
"tooth, molar; palate",20
"maxilla; premaxilla",18
"quadratojugal",17
"tibia; tibia sample",17
"lunar",16
"pes",16
"skull; tooth, incisor",16
"unciform",16
"sesamoid",15
"basisphenoid",14
"exoskeleton; exoskeleton",14
"skull; tooth, molar; tooth, premolar; tooth, incisor; tooth, canine",14
"dentary; dentary sample",13
"dentary; tooth; dentary sample",13
"dentary; tooth, premolar; tooth, incisor",13
"hair",13
"tooth, fang; premaxilla",13
"articular",12
"petrosal",12
"pterygoid",12
"tooth, molar; tooth, premolar",12
"dentary; frontal; maxilla",11
"exoskeleton; bone",11
"phragmocone",11
"pisiform",11
"skull; skull sample",11
"skull; tooth, incisor; tooth, premolar; tooth, molar",11
"ulna; radius",11
"angular",10
"bone; scale",10
"dentary; maxilla; tooth, molar",10
"frontal; dentary",10
"parietal; frontal",10
"skeleton",10
"tooth, molar; tooth, canine; tooth, premolar; maxilla",10
"vertebra, cervical; vertebra, cervical sample",10
"dentary; tooth, canine; tooth, molar",9
"operculum",9
"scaphoid",9
"skull; tooth, premolar",9
"tooth, molar; maxilla; tooth, canine; tooth, premolar; tooth, incisor",9
"dentary; tooth, molar; tooth, canine",8
