"preparations","reps"
"",2395249
"default - 1",356808
"whole animal (ethanol)",317462
"shell (dry)",314307
"skin (dry)",216049
"unknown (fossil)",183838
"whole animal (alcohol)",150965
"PREP - 1",137152
"whole animal (pinned)",124134
"whole animal (70% ethanol)",120359
"Fossil - 1",85191
"whole animal (pointed)",80170
"fossil - 1",78863
"fossil",78358
"whole animal (mounted)",74214
"Dry - 1",63153
"Permineralization - 1",59108
"Cataloged - 1",57244
"PREP - 2",40749
"skull (dry); skin (dry)",38618
"shell",35735
"Mammalia",35504
"Secondary microslides",33016
"body (70% ethanol)",25118
"Microslide",23021
"PREP - 3",18148
"leaf",17166
"Primary microslides",17088
"tooth",16621
"Compression/Impression - 1",16572
"FossilInvertPrep",14837
"PREP - 4",13788
"Reptilia",13623
"skeleton (dry)",13415
"Thin sections no remnants",13007
"valve (dry)",11969
"fossil specimen, 1",11927
"whole animal (pointed); whole animal (pointed)",11792
"Compression / Impression - 1",11008
"whole animal (ethanol); whole animal (miscellaneous)",10489
"whole animal (dry)",9990
"skull (dry)",9233
"PREP - 5",8964
"Unknown - 1",8475
"whole animal (95% ethanol)",8202
"Dry - 2",8179
"Unsectioned",8146
"vertebra",7836
"PREP - 6",7647
"egg (dry)",7378
"winged seed",7113
"palynomorph",6562
"shell fragment",6516
"tissue (ethanol)",6362
"100% prepped - 1",5858
"whole animal (formalin)",5777
"Thin sections with remnants",5594
"PREP - 7",5560
"skin (mounted)",5449
"incisor",5361
"cast",5093
"partial animal (microscope slide)",4940
"thin section",4898
"PREP - 8",4884
"default - 2",4588
"bone fragment",4461
"shells",4405
"shell (dry); valve (dry)",4194
"slide",4138
"tissue (frozen: -80°C); whole animal (formalin)",4035
"PREP - 10",3964
"fossil - 2",3917
"PREP - 9",3858
"Dry - 3",3775
"lower cheek tooth",3753
"Aves",3729
"upper cheek tooth",3650
"dry - 1",3462
"Unaltered remains - 1",3286
"whole animal (formalin/70% ethanol)",3246
"Oversized",3132
"nest (dry); egg (dry)",3098
"skin (dry); skeleton (dry)",3022
"teeth",3016
"fossil specimen, 2",2931
"Dry - 4",2855
"Vertebra",2795
"PREP - 12",2792
"thin section mounted on slide",2784
"TOOTH",2771
"PREP - 11",2764
"P4/",2693
"DENTARY",2675
"M2/",2562
"vertebrae",2556
"M1/",2525
"PREP - 25",2495
"Permineralization - 2",2418
"100% prepped",2285
"jaw fragment",2279
"PREP - 13",2229
"Body",2222
"/M",2211
"whole animal (unknown)",2167
"Bivalvia",2153
"microslide",2146
"whole animal (carded)",2138
"PREP - 14",2131
"Wet",2089
"Bone frag",2083
"R M1/",2029
"internal mold",2021
"PREP - 15",2010
"100% prepped - 2",2008
"VERTEBRA",1971
"shell frags",1958
"default - 3",1957
"TEETH",1935
"echinoid",1910
"PREP - 20",1896
"M/",1874
"SKELETON",1856
"skeleton",1852
"/M1",1842
"part",1839
"PREP - 16",1793
"PP 1x3 Slides - 1",1785
"Dry - 5",1720
"vial EtOH, stained",1706
"whole animal (cleared and stained)",1696
"Bottle",1668
"R M2/",1658
"Compression/Impression - 2",1653
"SKULL",1646
"Image Collection - 1",1645
"in matrix � other - 1",1624
"L M1/",1616
"M",1614
"M3",1588
"Phalanx",1549
"PREP - 18",1531
"whole animal (microscope slide)",1519
"/M2",1515
"tissue (95% ethanol)",1493
"L M2/",1490
"shell fragments",1471
"part/counterpart",1451
"PREP - 17",1448
"R M/1",1448
"DENTARY FRAG",1431
"PREP - 30",1425
"L M/1",1424
"counterpart",1417
"R M3/",1409
"M3/",1402
"Permineralization - 3",1393
"/P4",1380
"fruit",1377
"fossil specimen, 3",1365
"Specimen Collection - 1",1353
"PHALANX",1351
"Dry - 10",1347
"Dry - 6",1340
"dentary",1328
"tissue (ethanol); whole animal (ethanol)",1323
"m3",1314
"astragalus",1305
"default - 12",1303
"Gastropoda",1296
"partial skeleton (dry)",1292
"Permineralization - 4",1262
"100% prepped - 3",1247
"I",1244
"well slide",1220
"Remnants; Peels",1218
"ASTRAGALUS",1217
"external mold",1213
"Tooth",1208
"Dry - 1; Dry - 1",1205
"R P4/",1195
"P/",1191
"PREP - 19",1186
"default - 4",1166
"M2",1162
"Sample bag; Thin sections with remnants",1157
"foliated axis",1149
"L M3/",1145
"Compression / Impression - 2",1143
"fossil - 1; fossil - 1",1139
"partial skull",1129
"L P4/",1127
"PREP - 22",1124
