"reproductiveCondition","reps"
"",6180894
"flowers",41898
"flowers & fruit",18391
"fruit",11697
"sterile",5991
"fl",2097
"Flowering",1584
"fruits",1425
"Flowering & Fruiting",1161
"flrs",1152
"fr",1003
"Cones",635
"fl,fr",601
"Flower",547
"Flowers",537
"flowering",321
"fertile",299
"fl, fr",289
"flower",283
"Fruiting",272
"fl-fr",255
"Fertile",243
"Fruits",223
"flowers & fruits",198
"flowering and fruiting",182
"strobili",179
"Fruit",175
"Flowers and Fruits",166
"flowers and fruit",150
"st",136
"frts",134
"flw",131
"fruiting",128
"Vegetative",113
"Flower | Fruit",105
"flowers and fruits",103
"Ft",100
"fr,fl",97
"fr, fl",88
"flo",78
"flowering + fruiting=mid",73
"Cone",72
"yfr",72
"flrs, frts",63
"flowering=early",62
"Unknown",62
"Flower, Fruit",59
"vegetative",59
"flower & fruit",51
"Flowers yellow",51
"with sporangia",45
"steril",41
"Fertile | Flower",39
"leaf",38
"buds",36
"Flowers Present",35
"cones",34
"fl. & fr.",34
"Flowers purple",33
"Flowering & fruiting",32
"Reproductive",30
"Fertile | Flower | Fruit",29
"Fruit | Flower",29
"fruit & leaves",29
"flower and fruit",28
"fl & ft.",27
"sporangia",27
"Flowers and fruit",26
"In flower",25
"leaves",23
"Flr",22
"flowers & leaves",21
"image",21
"Flower: Y Fruit: N Vegetation: Y Bud: N",20
"bulbils",19
"Sterile",19
"Flr & Frt",18
"Phenology: Flowering and Fruiting.",18
"Flowers white",17
"fru",17
"fruit and flower",17
"veg",17
"sori",16
"flowers, fruits",15
"flr",15
"Pappus white",14
"sterile.",14
"Bud, Flower",13
"F - 1",13
"flowering + fruting=mid",13
"fruiting=late",13
"Seeds",13
"flw-fr",12
"frs",12
"ovulate strobili",11
"Disk & rays yellow",10
"Flower/fruit",10
"Flowering and Fruiting",10
"ft.",10
"fl.",9
"flower, fruit",9
"Bud, Flower, Fruit",8
"cone",8
"flower buds",8
"flowers, fruit & leaves",8
"In Flower",8
"staminate strobili",8
"female strobili",7
"Fertile |",7
"Flower |",7
"flowering & fruiting",7
"flrs, buds",7
"old infl",7
"Rays purple, disk yellow",7
"spores",7
"Bud",6
"buds, flrs",6
"Fl",6
"Flowering.",6
"Flowers yellow, pappus white",6
"Fruit and Flowers",6
"in flower",6
"Phenology: Flowering.",6
"seeds",6
"yes",6
"bud",5
"fl buds",5
"fl ,fr",5
"flowering/fruiting",5
"Flowering/fruiting",5
"Flowering or fruiting",5
"Flower: N Fruit: Y Vegetation: Y Bud: N",5
"frls",5
"Fruit Present",5
"infl",5
"No Data",5
"old flowers",5
"seed",5
"Bud |",4
"Flower, fruit",4
"Flower: N Fruit: N Vegetation: Y Bud: N",4
"flowers, buds",4
"fl, yfr",4
"f;p",4
"Frt",4
"Fruit |",4
"ster",4
"Steril",4
"strobili & fruit",4
"yfl",4
"blue f",3
"early frts",3
"fkrs",3
"FL - 1",3
"fl and fr",3
"fleurs",3
"fl/frt",3
"Flo",3
"flower buds & flowers",3
"flower, fruit & seed",3
"Flowering and fruiting",3
"Flowering and Fruiting.",3
"FLowering & Fruiting",3
"flowers, fruit",3
"flowers & leaf",3
"flrs, early frts",3
"frt",3
"Fruiting.",3
"fruit & leaf",3
"fruits, seeds",3
"f'w",3
"leaf, bulbils",3
"lv",3
"lvs",3
"Mature seeds",3
"ofl",3
"old fruits",3
"Phenology: Fruiting.",3
"photo only",3
"photos",3
"Rays white, disk yellow",3
