"typeStatus","reps"
"",5887712
"paratype",81804
"holotype",41464
"hypotype",29296
"syntype",23260
"PUBL",16091
"Paratype",14048
"type",10074
"Hypotype",8861
"Holotype",7182
"figured",5900
"FIG",4646
"homeotype",3135
"paralectotype",3029
"PARATYPE",2291
"CITED",2126
"Plesiotype",2005
"Figured",1955
"Paratype of Gastrotheca boliviana griswoldi",1893
"TYPE",1843
"hypodigm",1661
"ILLUSTRATED",1636
"Syntype",1598
"HOLOTYPE",1328
"Mentioned",1313
"lectotype",1201
"Referred",1200
"plesiotype",1192
"Paratype of Batrachylodes elegans",887
"Paratype of Batrachylodes mediodiscus",878
"cotype",854
"topotype",815
"Paratype of Sphenomorphus leptofasciatus",743
"Non-type",631
"plastoholotype",593
"Plastotype",576
"Paratype of Gonatodes atricucullaris",522
"Measured",504
"Topotype",498
"Topotype of Sphaerodactylus townsendi",473
"ISOTYPE",467
"Y",464
"FIGURED",431
"plastotype",389
"Plastoholotype",386
"cited",371
"HYPOTYPE",349
"Type",328
"voucher of <a href=\http://arctos.database.museum/name/Notiosorex dalquesti\>Notiosorex dalquesti</a>, page 162 in <a href=\http://arctos.database.museum/publication/10005486\>Carraway 2010</a>",321
"Paratype of Sphenomorphus tanneri",317
"Cotype",306
"plastoparatype",282
"Paratype of Sphenomorphus brunneus",277
"PLESIOTYPE",267
"plastosyntype",253
"figured and cited",250
"Thesis/dissertation",228
"Paratype of Austrochaperina derongo",208
"neotype",185
"Paratype of Eleutherodactylus bakeri heminota",181
"Paratype of Acutotyphlops kunuaensis",180
"Syntype of Archaeoplax signifera",169
"Genetic Voucher of Anolis cybotes",168
"ISOPARATYPE",166
"paratype?",164
"SYNTYPE",160
"Paratype of Phrynomantis humicola humicola",150
"Genetic Voucher of Anolis carolinensis",139
"Paratype of Phyllodactylus reissii",138
"Paratype of Anolis distichus suppar",136
"Paratype of Anolis oculatus winstoni",132
"Plastohypotype",132
"Paratype? of Loveridgea ionidesii",131
"type?",131
"PLAS",126
"Type of Rhepocoris praevalens",125
"isotype",124
"Paratype of Sarothrocrepis papua",122
"Voucher of Cryptolithus tessellatus",122
"syntype?",119
"typodigm",119
"holotype; holotype",115
"voucher of <a href=\http://arctos.database.museum/name/Aztlanolagus agilis\>Aztlanolagus agilis</a>, page 639 in <a href=\http://arctos.database.museum/publication/10004548\>Russell and Harris 1986</a>",114
"Plastoparatype",113
"Paratype of Anolis oculatus cabritensis",110
"Topotype of Chamaeleo fischeri multituberculatus",109
"Paratype of Oxydactyla stenodactyla",106
"Plasto-holotype",106
"Paratype of Anolis wattsi schwartzi",105
"Paratype of Scolecomorphus uluguruensis",101
"MENTIONED",97
"Paratype of Anolis marcanoi",95
"Paratype of Oxydactyla alpestris",95
"Genetic Voucher of Craterostigmus tasmanianus",93
"Paratype of Phrynobatrachus ukingensis nyikae",93
"hypotype?",91
"Paratype of Emoia physicina",91
"Paratype of Eremias savagei",91
"basis of illustration of <a href=\http://arctos.database.museum/name/Equus\>Equus</a> in <a href=\http://arctos.database.museum/publication/10006666\>Mann et al. 2013</a>",90
"Paratype of Anolis roquet summus",90
"Paratypes",89
"PL-holotype",89
"Plasto-hypotype",85
"Type of Rhepocoris propinquans",85
"Voucher of Canadaspis perfecta",82
"Voucher of Ectenocrinus simplex",82
"holotype?",81
"voucher",80
"basis of illustration of <a href=\http://arctos.database.museum/name/Ovibos\>Ovibos</a> in <a href=\http://arctos.database.museum/publication/10006666\>Mann et al. 2013</a>",79
"FIG.",79
"Paratype of Microtus enixus",79
"paratype; paratype",79
"syntype of Oreodytes cryptolineatus Statz, 1939",76
"Paratype of Anolis roquet zebrilus",73
"Syntype of Anolis conspersus",72
"voucher of <a href=\http://arctos.database.museum/name/Phrynosoma douglassi\>Phrynosoma douglassi</a>, page 35 in <a href=\http://arctos.database.museum/publication/10007633\>Holman 1970</a>",71
"Paratype of Phyllodactylus phacophorus",70
"Paratype of Sphaerodactylus danforthi",70
"Paratype of Stenocercus huancabambae",70
"Paratype of Ameiva chrysolaema secessa",68
