"class","reps"
"",1043265
"Mammalia",705994
"Gastropoda",456912
"Insecta",432275
"Aves",409940
"Bivalvia",359578
"Reptilia",333638
"Rhynchonellata",245109
"Osteichthyes",199916
"Amphibia",168321
"GASTROPODA",120490
"Strophomenata",105498
"Cephalopoda",100156
"BIVALVIA",99726
"Crinoidea",97622
"Anthozoa",90667
"Chondrichthyes",82354
"Trilobita",80481
"Arachnida",73361
"Foraminifera",66701
"MAMMALIA",59682
"Malacostraca",46733
"Fusulinida",35119
"Echinoidea",30374
"Globothalamea",30159
"Ostracoda",27466
"Pelecypoda",23236
"Angiospermopsida",22517
"Magnoliopsida",21273
"MALACOSTRACA",16812
"Pinopsida",15981
"Blastoidea",13975
"ECHINOIDEA",12900
"Stenolaemata",12895
"Polychaeta",12849
"Merostomata",12647
"Osteichthys",12473
"Gymnolaemata",11695
"Actinopterygii",11556
"Artiodactyla",10222
"Rodentia",9823
"Demospongea",8566
"ANTHOZOA",8234
"OSTEICHTHYES",8227
"REPTILIA",7822
"Ornithischia",6895
"Nautiloidea",6790
"Scaphopoda",6752
"Lingulata",6625
"Gymnospermopsida",6604
"Conodonta",6441
"incertae sedis",6228
"Hydrozoa",6086
"Graptolithina",5754
"Sarcodina",5626
"Scyphozoa",5621
"Crustacea",5384
"Chilopoda",5319
"Polyplacophora",5202
"Articulata",5076
"Diplopoda",4962
"GYMNOLAEMATA",4916
"Dicotyledonae",4847
"GRANULORETICULOSA",4763
"Worm",4566
"Holothuroidea",4463
"Cystoidea",4310
"Demospongiae",4231
"Actinopoda",4175
"ASTEROIDEA",4082
"CIRRIPEDIA",3923
"Cheilostomata",3825
"Cystoporata",3810
"Dinosauria",3807
"Sarcopterygii",3509
"Perissodactyla",3477
"Ophiuroidea",3162
"Tubothalamea",3127
"OSTRACODA",3056
"CHONDRICHTHYES",2953
"Carnivora",2766
"Unplaced",2686
"Lagomorpha",2672
"Granuloreticulosea",2651
"AVES",2438
"Rugosa",2177
"Stelleroidea",1914
"Branchiopoda",1910
"Lycopsida",1909
"Squamata",1907
"Edrioasteroidea",1896
"Proboscidea",1873
"Cirripedia",1842
"Placodermi",1833
"RHYNCHONELLATA",1674
"Asteroidea",1643
"SCAPHOPODA",1589
"Tabulata",1589
"Maxillopoda",1554
"Agnatha",1547
"(Brachiopoda)",1494
"Craniata",1490
"AMPHIBIA",1470
"Cyclostomata",1335
"Inarticulata",1294
"Stromatoporoidea",1271
"Elasmobranchii",1205
"Ichnites",1161
"Hyalospongea",1158
"Pteridophylla",1143
"Hyolitha",1098
"Passeriformes",1094
"Trepostomata",1059
"Eocrinoidea",999
"Cryptostomata",996
"Petrobranchia",951
"CEPHALOPODA",908
"Polycystina",850
"Incertae sedis",845
"Filicopsida",824
"Chiroptera",818
"Hexactinellida",740
"Soricomorpha",724
"Sipunculidea",693
"OPHIUROIDEA",685
"Galliformes",677
"Bennititopsida",675
"CRINOIDEA",666
"Rostroconchia",659
"Trilobitoidea",658
"Heteractinida",656
"TRILOBITA",656
"Phascolosomatidea",654
"Holocephali",639
"Hirudinea",614
"Cathartiformes",588
"Class incertae sedis",578
"Unranked",565
"Therapsida",561
"Monoplacophora",534
"POLYPLACOPHORA",531
"PLACODERMI",503
"Stylophora",503
"Calcispongea",501
"Calyptoptomatida",488
"Cricoconarida",480
"Copepoda",443
"Equisetopsida",435
"Anura",423
"STENOLAEMATA",422
"Oligochaeta",414
"Liliopsida",413
"Cardiida",410
"Turbellaria",405
"STROPHOMENATA",365
"Machaeridia",363
"Neogastropoda",361
"AGNATHA",345
"Acanthodii",344
"Pelycosauria",335
"Saurischia",324
"Ginkgoopsida",323
"Eurypterida",321
"POLYCHAETA",321
"Testudines",321
"Pteraspidomorphi",320
"ACANTHODII",315
"Cycadopsida",313
"Rhombifera",310
"HYDROZOA",303
"Chileata",299
"Thylacocephala",295
"Reticularea",289
"Scleractinia",284
"Bacillariophyceae",279
"Ichnofossil",267
"LINGULATA",266
"Archaeocyatha",262
"Pycnogonida",258
"Cestoda",255
"Sphenopsida",250
"Neotaenioglossa",246
"Homoiostelea",242
"Tentaculita",242
"Monothalamids",241
"To be looked up",240
"Vendobionta",231
"Ostreoida",227
"Opalinea",224
"Coelenterata",223
"fish indet.",222
"Paracrinoidea",207
"FISH TRACE",206
"Sauria",197
"Phylactolaemata",196
"Camptostromoidea",195
"Marattiopsida",195
"Monocotyledonae",194
"Petromyzontidia",194
"Nuculoida",190
"Cyanophyceae",189
"Falconiformes",188
"Cephalaspidomorphi",183
"Glossopteridopsida",183
"Prymnesiophyceae",182
"Dinocarida",180
"Progymnospermopsida",179
"Charophyceae",172
"unassigned",172
"Archipolypoda",169
"Homalozoa",169
"Amphineura",168
"Class indet.",167
"Agmata",166
"GRAPTOLITHINA",166
"Pteridopsida",166
"Diploporita",160
"Kutorginata",156
"Anseriformes",155
"Calcarea",155
"Paterinata",153
"INSECTA",150
"Trematoda",146
"Irregulares",139
"Bennettitopsida",133
"Carditida",130
"Hexanauplia",129
"Blastozoa",125
"Chlorophyceae",125
"Enopla",125
"Obolellata",123
"Lepidocarpopsida",121
"Entognatha",120
"Glomeromycetes",120
"Cyclocystoidea",119
"Tentaculitida",118
"Gordioidea",117
"Lycopodiopsida",116
"Annelida",112
"Dacryoconarida",111
"Accipitriformes",107
"Coleoidea",107
"Sorbeoconcha",104
"Myxini",103
"Anopla",99
"Polychaetia",99
"Helicoplacoidea",98
"Rhynchonelliformea",98
"Rhyniopsida",96
"Fenestrata",95
"Polycystinea",95
"Y",94
"Isoetopsida",93
"Unknown",91
"Matthevia",90
"Trimerophytopsida",87
"Enteropneusta",83
"Rhabditophora",80
"Venerida",80
"Ulvophyceae",78
"Cubozoa",77
"Strigiformes",77
"Myida",76
"Coscinodiscophyceae",75
"Decapoda",75
"Coeloscleritophora",74
"Dasycladophyceae",71
"Monocotyledoneae",71
"Caudata",70
"Osmundopsida",69
"Mammalia - Mammaliaformes",67
"Chlorophyaceae",66
"Clypeasteroida",66
"Gruiformes",66
"Serpentes",66
"Echinozoa",65
"Mediophyceae",65
"Pteridospermopsida",65
"CONODONTA",64
"Xenarthra",64
"Florideophyceae",62
"Adapedonta",60
"Myzostomida",60
"ARTICULATA",59
"Mytiloida",59
"Tentaculata",59
"Pterioida",58
"Coccolithophyceae",57
"DIPLOPODA",53
"Hexapoda",53
"Zosterophyllopsida",53
"Foraminiferida",52
"Obelellata",52
"Ichnofossil incertae sedis",50
"Polypodiopsida",48
"Coronoidea",47
"Euthycarcinoidea",46
"INVERT",46
"Secernentea",46
"Asterozoa",45
"DEMOSPONGEA",45
"Homostelea",45
"Foraminifera incertae sedis",44
"CRANIATA",43
"Palaeonemertea",43
"Caudofoveata",42
"Lucinida",41
"Psilopsida",41
