"family","reps"
"",1636296
"Formicidae",126203
"Equidae",105207
"Iguanidae",75804
"Cricetidae",63244
"Scincidae",43898
"Emberizidae",43510
"Unplaced",42083
"Athyrididae",38909
"Lycaenidae",32610
"Hylidae",31883
"Myctophidae",30562
"Hydraenidae",30259
"Ranidae",28430
"Emydidae",28078
"Unionidae",27699
"Plethodontidae",27381
"Carcharhinidae",27300
"Veneridae",27112
"Camelidae",25575
"Leporidae",25068
"Colubridae",25031
"Family indet.",23996
"Camarotoechiidae",22562
"Nymphalidae",21734
"Sciuridae",21119
"Muscicapidae",20912
"Parulidae",20570
"Gekkonidae",19918
"Lophophyllidae",17815
"Leptodactylidae",17385
"Muricidae",17068
"Canidae",17065
"VENERIDAE",17057
"Spiriferidae",16910
"Scaphitidae",16785
"Productellidae",16724
"Tyrannidae",16032
"Globigerinidae",15979
"Pectinidae",15962
"Atrypidae",15428
"Anatidae",15241
"Hyopsodontidae",15163
"Productidae",15160
"Lamnidae",15066
"Cardiidae",14801
"Bovidae",14636
"Limopsidae",13819
"Pinaceae",13652
"Muridae",13132
"Testudinidae",12652
"Teredinidae",12634
"Rugosochonetidae",12540
"Naticidae",12410
"Lycosidae",12289
"Heteromyidae",12193
"Ostreidae",12148
"Pieridae",11872
"Rhinocerotidae",11844
"Bufonidae",11607
"Icteridae",11490
"Picidae",11422
"Procellariidae",11297
"Geomyidae",11272
"Carabidae",11246
"Alligatoridae",11119
"Tellinidae",11006
"Calamitaceae",10874
"Conidae",10799
"Hesperiidae",10714
"Trochilidae",10655
"MURICIDAE",10537
"Fringillidae",10536
"Columbidae",10196
"Rhipidomellidae",10160
"Neoplagiaulacidae",10145
"Cervidae",10022
"Turritellidae",9849
"Nuculidae",9443
"Buccinidae",9199
"Lucinidae",9035
"Scolopacidae",9015
"Microhylidae",8914
"Lepisosteidae",8871
"Vespertilionidae",8864
"CRICETIDAE",8772
"Papilionidae",8694
"Turridae",8638
"Meristellidae",8615
"Chonetidae",8587
"Soricidae",8585
"Accipitridae",8576
"Bellerophontidae",8570
"Phalacrocoracidae",8519
"Hyperolidae",8366
"Polygyridae",8317
"Arcidae",8311
"Mytilidae",8307
"LUCINIDAE",8260
"Globorotaliidae",8229
"Fagaceae",8194
"Cypraeidae",8180
"Favositidae",8080
"Fusulinidae",8024
"Myalinidae",7921
"Corvidae",7860
"Olividae",7724
"Trochidae",7655
"EOMYIDAE",7521
"Capromyidae",7492
"Hadrosauridae",7477
"Astartidae",7396
"Inoceramidae",7388
"Pleuroceridae",7362
"ARCIDAE",7360
"Phasianidae",7340
"Fasciolariidae",7321
"Gryphaeidae",7111
"Mactridae",7109
"Gosseletinidae",7108
"Pentremitidae",7045
"Clausiliidae",6959
"Rallidae",6837
"Kinosternidae",6795
"Dalmanellidae",6769
"Tayassuidae",6753
"Eurypteridae",6669
"Linyphiidae",6638
"Carditidae",6628
"Didelphidae",6548
"PECTINIDAE",6461
"CARDIIDAE",6436
"Rafinesquinidae",6426
"Gonostomatidae",6424
"CALYPTRAEIDAE",6385
"Curculionidae",6384
"Orthoceratidae",6316
"Antilocapridae",6309
"CONIDAE",6254
"Nuculanidae",6218
"MELONGENIDAE",6207
"NATICIDAE",6206
"Felidae",6177
"Sylviidae",6159
"Nassariidae",6153
"Cyprinidae",6016
"Helicidae",6009
"Achatinellidae",5994
"Troglodytidae",5989
"TURRIDAE",5952
"Neoretziidae",5934
"Sternoptychidae",5915
"Odontaspididae",5880
"Laridae",5879
"Platystrophiidae",5830
"Cerithiidae",5820
"Chrysomelidae",5731
"Phocidae",5640
"Ambocoeliidae",5594
"Salticidae",5587
"Halictidae",5573
"Littorinidae",5540
"Zaphrentidae",5521
"Platyceratidae",5438
"Linoproductidae",5428
"Trionychidae",5400
"Eotomariidae",5355
"Teiidae",5326
"Centrarchidae",5321
"Columbellidae",5313
"Trigonotretidae",5251
"Planorbidae",5208
"Phenacodontidae",5162
"Urocoptidae",5160
"Neritidae",5116
"Echinoconchidae",5055
"FASCIOLARIIDAE",5027
"Ischyromyidae",5018
"Araneidae",5003
"Mustelidae",4987
"Strigidae",4973
"Derbyiidae",4940
"Tipulidae",4916
"Scombridae",4884
"Enteletidae",4879
"TURRITELLIDAE",4843
"Sciaenidae",4837
"Formicariidae",4757
"Retziidae",4651
"Hirundinidae",4648
"Microsyopidae",4638
"Physidae",4630
"Helicinidae",4607
"Cupressaceae",4550
"Merycoidodontidae",4523
"Volutidae",4512
"Lepidodendraceae",4511
"Baculitidae",4490
"Nesophontidae",4462
"Vireonidae",4449
"Omomyidae",4424
"Psittacidae",4415
"Phacopidae",4412
"Agamidae",4409
"Glossopteridaceae",4392
"Staphylinidae",4366
"Betulaceae",4298
"Helminthoglyptidae",4270
"Malletiidae",4266
"Medullosaceae",4263
"Physeteridae",4260
"Bulimulidae",4251
"Viperidae",4251
"Pampatheriidae",4248
"Paridae",4247
"Aviculopectinidae",4245
"Pyramidellidae",4233
"Cichlidae",4221
"Salicaceae",4193
"CAPTORHINIDAE",4161
"Strombidae",4159
"Anguidae",4131
"Pyrgiidae",4116
"Fissurellidae",4102
"Anomiidae",4072
"Corystospermaceae",4071
"Brontotheriidae",4001
"Donacidae",3979
"Ambystomatidae",3960
"TELLINIDAE",3953
"CORBULIDAE",3952
"Corbulidae",3922
"Photichthyidae",3905
"Unranked",3899
"Camaenidae",3859
"Nodosariidae",3855
"Punctospiferidae",3832
"Cheiruridae",3819
"Cerionidae",3808
