"genus","reps"
"",1162705
"Anolis",59645
"Genus",55119
"Unidentified",45485
"Triticites",37928
"Composita",31307
"Equus",25008
"Parahippus",23831
"Camarotoechia",22758
"Pheidole",16285
"Trachemys",15538
"Peromyscus",14673
"Spirifer",14621
"Limopsis",13828
"Hyopsodus",13376
"Atrypa",13173
"Microtus",13085
"Indet. Brachiopod",13079
"Formica",12660
"Archaeohippus",12603
"Marrella",12537
"Carcharhinus",12411
"Eleutherodactylus",12389
"Emoia",12372
"Litoria",12307
"\Angiosperm Leaf Dicot\",12097
"Hustedia",11617
"Desmognathus",11496
"Sylvilagus",11327
"Camponotus",11261
"Lasius",11069
"Plethodon",10709
"Lophophyllidium",10398
"Conus",10393
"Neotoma",10310
"Bison",9568
"Turritella",9324
"Ostrea",9068
"Alligator",8898
"Chione",8893
"Globigerinoides",8889
"Dendroica",8809
"Sphenomorphus",8738
"Rhipidomella",8737
"Canis",8663
"Pecopteris",8604
"Hydraena",8349
"Phalacrocorax",8329
"Pentremites",8311
"Rana",8267
"Pterodroma",8134
"Hyracotherium",8099
"Mesodma",7949
"Hesperotestudo",7873
"Bufo",7629
"Pardosa",7509
"Quercus",7424
"Hyla",7403
"Chonetes",7375
"Productus",7309
"\Angiosperm Reproductive Structure\",7256
"Negaprion",7067
"Batrachylodes",7008
"Myrmica",6887
"Neochonetes",6875
"Picea",6775
"Teleoceras",6534
"Protocardia",6513
"Odocoileus",6498
"Eurypterus",6433
"Sigmodon",6416
"Favosites",6235
"Cypraea",6178
"CONUS",6143
"Zonotrichia",6107
"Inoceramus",5987
"Diaphus",5715
"Platystrophia",5624
"Eumys",5589
"Polygyra",5556
"Neospirifer",5549
"Globorotalia",5481
"Echmatemys",5469
"Spermophilus",5420
"Palaeolagus",5341
"Sphaerodactylus",5340
"Hyperolius",5333
"Tellina",5313
"Hoploscaphites",5274
"Pecten",5261
"Sceloporus",5128
"Baculites",5111
"Leptomeryx",5026
"Marginifera",5026
"Punctospirifer",5023
"Tympanogaster",4996
"Arionoceras",4979
"Nesophontes",4906
"Papilio",4881
"Linoproductus",4869
"Globigerina",4864
"Athyris",4794
"Isurus",4685
"Merychippus",4683
"Scaphites",4678
"Neuropteris",4672
"Astartella",4611
"Galeocerdo",4593
"Nucula",4581
"Littorina",4541
"Pinus",4502
"Glabrocingulum",4489
"Thomomys",4439
"Phrynobatrachus",4437
"Nassarius",4402
"Achatinella",4381
"Captorhinus",4372
"Exogyra",4372
"Macoma",4271
"Cerithium",4263
"Trepospira",4253
"Orthoceras",4242
"Physa",4229
"Solenopsis",4229
"Carlia",4228
"Holmesina",4226
"Helix",4194
"Natica",4184
"Derbyia",4172
"Stereostylus",4167
"Isolobodon",4147
"Ammodramus",4139
"Cladochonus",4137
"ANADARA",4135
"Parus",4127
"Carcharocles",4097
"Elliptio",4081
"Indet. Conodonts",4050
"Myalina",4045
"Ambystoma",4036
"Neogloboquadrina",3987
"Meristella",3982
"Pseudemys",3938
"Glossopteris",3915
"Bellerophon",3912
"Crepidula",3905
"Crematogaster",3902
"Nannippus",3892
"Calamites",3891
"Enteletes",3888
"CHIONE",3856
"Callophoca",3847
"Vireo",3836
"Lampanyctus",3830
"Peratherium",3823
"Arca",3799
"Anomia",3797
"Desmoinesia",3781
"Hemipristis",3752
"Donax",3735
"Ochthebius",3717
"Bankia",3714
"Tapirus",3684
"Dalmanella",3682
"Polinices",3632
"Aviculopecten",3629
"Venericardia",3615
"Monomorium",3614
"Crurithyris",3613
"Pogonomyrmex",3605
"Leptaena",3602
"Teredo",3595
"Turdus",3594
"Gryphaea",3593
"Mammuthus",3582
"TURRITELLA",3565
"Lampsilis",3561
"Proheteromys",3533
"Euphemites",3531
"Cophixalus",3528
"Anas",3508
"Essexella",3478
"Dielasma",3467
"Eurema",3406
"Lasioglossum",3403
"Carcharodon",3393
"Indet. Coral",3378
"Meristina",3374
"Receptaculites",3369
"Liguus",3345
"Colinus",3341
"Acris",3328
"Neokoninckophyllum",3304
"Gymnochthebius",3300
"Platygonus",3300
"Dentalium",3261
"Nuculopsis",3252
"Indet. Bryozoan",3238
"Cyclothone",3215
"Lucina",3214
"Dendrocopos",3181
"Hemiauchenia",3176
"Aphaenogaster",3175
"Dicroidium",3172
"Urocoptis",3159
"Lissochonetes",3145
"Rafinesquina",3138
"Goniobasis",3123
"Lepus",3123
"Centropomus",3108
"Strophomena",3103
"Cormohipparion",3093
"Unio",3091
"Cleiothyridina",3064
"Murex",3063
"Belotelson",3051
"Temnothorax",3035
"Cerion",3033
"Ischyromys",3032
"Physeterula",3029
"Olenellus",3027
"Annularia",2988
"Nerita",2982
"Strombus",2978
"Sandia",2973
"Corbula",2931
"Oliva",2927
"Glycymeris",2924
"Tetramorium",2923
"Colias",2904
"Dasyatis",2898
"Sphoeroides",2897
"Anadara",2895
"Sorex",2882
"Dendraster",2872
"Archaeocidaris",2862
"Chlamys",2861
"Hemidactylus",2844
"Mucrospirifer",2838
"Lithobates",2819
"Falco",2818
"Cardium",2813
"Icterus",2808
"Phacops",2803
"Leptodesma",2797
"Terebra",2776
"CREPIDULA",2756
"Argyropelecus",2749
"Texigryphaea",2748
"Astarte",2740
"Corvus",2733
"Bolivina",2725
"Anthracospirifer",2723
"Orbitoplax",2718
"Pipilo",2715
"Tesuquea",2715
"Diacodexis",2688
"Phricodothyris",2666
"Nuculana",2659
"Myotis",2652
"Schizophoria",2651
"Capromeryx",2642
"Branta",2636
"Vinciguerria",2632
"Mesolobus",2626
"Hypolagus",2613
"Acer",2585
"Platyceras",2581
"Parhydraena",2523
"Hygophum",2520
"Thais",2513
"Larus",2486
"Ameiva",2483
"Carduelis",2482
"Buteo",2480
"Scapanorhynchus",2480
"Mazonomya",2472
"Lepisosteus",2471
"Oryzomys",2433
"Catharus",2432
"Neohipparion",2432
"CHAMA",2430
"Dorymyrmex",2415
"Myctophum",2414
"Juresania",2410
"Entoptychus",2407
"Salix",2400
"Geothlypis",2399
"Argopecten",2397
"Populus",2379
"Lepomis",2367
"Dasypus",2356
"Junco",2356
"Lottia",2355
"Papuascincus",2353
"Chauliodus",2346
"Olivella",2327
"Anodonta",2325
"Palaeolama",2314
"Sphenophyllum",2304
"Leiocephalus",2289
"Marmota",2282
"Mytilus",2281
"Dipodomys",2277
"Lepidocyclina",2264
"Coryphodon",2260
"Ceraurus",2258
"Chamaeleo",2256
"Lycaena",2254
"Australca",2251
"Zaphrentis",2248
"Carpodacus",2245
"Diaphragmus",2232
"Blarina",2229
"Palaeoneilo",2227
"Carcharias",2223
"Gastrotheca",2218
"Cystiphyllum",2217
"Trachylepis",2216
"Succinea",2212
"Thambetochen",2209
"Alnus",2202
"Alethopteris",2191
"Amia",2185
"MERCENARIA",2176
"Wood",2171
"Spizella",2167
"Melanerpes",2156
"SCLERASTERIAS",2154
"Fistulipora",2150
"Meleagris",2144
"Ambocoelia",2143
"Meekella",2143
"Empidonax",2142
"Ondatra",2139
"Acmaea",2138
"Procamelus",2125
"Pleurotoma",2121
"Ceratoscopelus",2116
"Hebertella",2116
"Leptodactylus",2115
"Nodosaria",2114
"Phenacodus",2112
"Thamnophis",2112
"Unknown",2108
"Rhinoptera",2105
"Pelycodus",2083
"Eremophila",2081
"Apalone",2073
"Lingula",2069
"Pitar",2068
"Merycoidodon",2065
"Mitra",2060
"Terrapene",2044
"Cycadeoidea",2042
"Leiorhynchus",2041
"Thunnus",2031
"Dictyoclostus",2027
"Spisula",2026
"Plant",2016
"Smilodon",2009
"Clethrionomys",2005
"Oreophryne",2004
"Mustela",2000
"Calliostoma",1993
"Sarda",1989
"Chonetinella",1987
"Lophophyllum",1984
"CRUCIBULUM",1977
"Nausitora",1976
"Stropheodonta",1976
"Balanus",1974
"Platanus",1966
"Gonostoma",1963
"Beecheria",1960
"Eptesicus",1952
"Pediomys",1947
"Ictalurus",1944
"Lepidodendron",1943
"Puffinus",1943
"NASSARIUS",1940
"Globigerinita",1925
"Tullimonstrum",1925
"Notophthalmus",1923
"Triarthrus",1922
"Fissispongia",1917
"Paratrechina",1916
"Lymnaea",1912
"Lepidostrobus",1898
"Paramys",1898
"Sitta",1894
"Lingulella",1892
"Sowerbyella",1889
"Worthenia",1889
