"identifiedBy","reps"
"",3262284
"[no agent data]",869576
"Catalog",395314
"Jessica Utrup",80854
"Stefan P. Cover",43873
"Woods Hole Oceanographic Institution",35426
"Philip D. Perkins",30454
"Kristen A. MacKenzie",27826
"Daniel T. Jennings",26025
"Richard C. Hulbert Jr.",25395
"Carl O. Dunbar",24346
"Ledger",20481
"Christina Lutz",19960
"Arthur H. Harris",19793
"Jack Brown",16804
"José Rosado",16303
"Karim, Talia",15147
"Karsten E. Hartel",14455
"Wittry and Glasspool",14118
"David G. Smith",14081
"unknown",12903
"Charles Schuchert",12898
"Kathleen Histon",12408
"Anderson, Evan",12090
"Henderson, J3",12071
"Retallack, Gregory",12040
"Walcott",11508
"Thomas W. Amsden",11312
"Jennifer C. Hoeflich",10776
"James E. Craddock",8738
"William H. Twenhofel",8490
"Timothy H. Heaton",8235
"Austin J. Hendy",7984
"Odd E. Tetlie",7656
"James K. Wetterer",7526
"Olson, Storrs L.; James, Helen F.",7298
"Weaver, P.",6754
"Stephen G. Tilley",6634
"Rod Eastwood",6337
"John Pojeta Jr.",6235
"Cards",6054
"Treado, Lucy",5945
"Jessica Rykken",5804
"LeConte",5629
"systematic card",5596
"Smith",5564
"David W. Steadman",5362
"Gary D. Alpert",5231
"Schneider",5207
"Cushman",5068
"Cooper; Grant",5042
"Daniel P. Cole",5013
"Loeblich; Tappan Loeblich, Helen N.",4908
"Susan H. Butts",4874
"Philip J. Darlington, Jr.",4870
"Karl M. Waage",4801
"Harlan K. Dean",4799
"Petr Budil",4757
"Herbert W. Levi",4527
"David Lubertazzi",4474
"Purdy, Robert Winfield, Museum Specialist (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",4424
"Natasha S. Vitek",4334
"Neil H. Landman",4310
"Levy, Rick",4307
"Gonzalo Giribet",4299
"Schneider, V.",4244
"Art Poyer",4172
"Sam Droege",4156
"Gustafson, Eric",4017
"Ausich",3946
"Reinthal, Elizabeth",3944
"Banks",3734
"Robert E. King",3508
"Don L. Eicher",3480
"Erika H. Simons",3464
"Thoene, Jenell",3449
"Cole",3424
"C.L. Smith",3384
"Stuart A. Northrop",3383
"William P. Mackay",3369
"Paul E. Morse",3359
"Whitmore, Frank Clifford, Jr., (USGS-R), U.S. Department of the Interior (UNITED STATES)",3352
"Fenner A. Chace, Jr.",3316
"Ricardo Pérez-de la Fuente",3287
"Kathryn Rohlwing",3258
"Douglas G. Smith",3152
"William Morton Wheeler",3150
"Don Mikulic, Joanne Kluessendorf",3046
"Bottle Label(s)",3036
"Victor Perez",3002
"George H. Horn",3001
"Peter Van Roy",2946
"Murat Recevik",2934
"World Register of Marine Species",2898
"Bloch & his students 2015-2016",2885
"Cooper",2851
"Edward Osborne Wilson",2794
"Paul Matheus",2766
"Martin Jacoby",2717
"Dr. Joseph A. Cushman",2699
"Lisette Henrey",2692
"Roland Gangloff",2678
"Laura Leibensperger",2657
"Amundson, Lauren",2619
"Aaron M. Bauer",2595
"Gwilym S. Jones",2558
"James E. Craddock, Karsten E. Hartel",2488
"Hall",2463
"Richard G. Zweifel",2400
"George Carlos Wheeler",2390
"Allison, Allen E. Greer, Jr.",2349
"Unknown",2346
"Gwen S. Antell",2311
"LUIS P. SOTO",2310
"Mena Schemm-Gregory",2290
"Joachim Barrande",2244
"Klose, William",2188
"Schubel; Steadman, David W.",2169
"Charles L. Remington",2165
"Yoel E. Stuart",2102
"Ian G. Speden",2099
"Russell Dale Guthrie",2065
"Steven O. Shattuck",2058
"Gazin",2014
"Walker, Lindsay",1993
"Rex Passion",1967
"Dall",1964
"Sean M. Moran",1903
"Emma R. Locatelli",1880
"Hermann Loew",1862
"Jeremiah R. Trimble",1857
"Gustav A. Cooper",1842
"V Schneider",1833
"James, Helen F., Curator (BIRDS), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",1825
"Andrew D. Williston",1819
"Albert Schwartz, Jr.",1810
"Bloch & his students",1774
"Sally L. Richardson",1756
"Leslie S. Kaufman",1749
"Aldo F. Rincon",1748
"R. V. Chamberlin",1738
"Dr. Carol W. Allison",1727
"Norman I. Platnick",1668
"Henry C. Fall",1656
"Robin O. Mills",1640
"Lloyd R. Davis",1572
"Frederick H. Hotchkiss",1556
"Woodring",1553
"Green",1550
"(Barrande",1530
"Nicholas Herrmann",1528
"Olson",1525
"Philip S. Ward",1524
"R. Leuschner",1523
"Christopher P. Kenaley",1521
"Olivier Bethoux",1521
"James Draper Lazell Jr.",1519
"Pamela Groves",1519
"Berry",1509
"Norman D. Newell",1492
"Susan M. Kidwell",1471
"Parker",1467
"Patrick Druckenmiller",1418
"Preston E. Cloud",1401
"Imlay",1390
"Michele Johnson",1382
"Cobban",1381
"Michael J. Miller",1349
"Horowitz",1347
"Robert L. Davidson",1335
"Ira Rubinoff",1331
"Alana Rivera",1326
"WCBrown",1318
"S.N. Brown",1317
"Brown",1299
"Drummond, Bill",1299
"Walter Faxon",1290
"Butts",1286
"Arthur M. Chickering",1278
"H. K. Brooks",1262
"Ulrich; Cooper",1239
"Copeland MacClintock",1237
"White",1235
"Emry, Robert John, (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",1228
"John E. Cadle",1228
"Arthur K. Miller",1225
"Pascal Rabeson",1220
"Otto William Geist",1214
"Gunther Köhler",1213
"Steadman, David W., Florida Museum of Natural History (UNITED STATES)",1207
"(Defrance)",1205
"Donald W. Buden",1202
"Johnson",1182
"Xavier Espadaler",1180
"Rachel E. Narducci",1170
"Zelagin, David",1166
"Alex Edgar",1159
"Girty",1151
"Tappan Loeblich, Helen Nina",1143
"Staff",1139
"David C. Blackburn",1137
"Whitmore",1137
"Carl Leavitt Hubbs",1132
