"index.family","reps"
"",1242787
"formicidae",127233
"equidae",108165
"cricetidae",68406
"dactyloidae",59867
"veneridae",46775
"scincidae",44240
"unplaced",36490
"emydidae",33378
"lycaenidae",32833
"spirigerellidae",32107
"myctophidae",30569
"hydraenidae",30264
"hylidae",29820
"muricidae",29112
"unionidae",27989
"camelidae",27411
"plethodontidae",27397
"leporidae",27035
"emberizidae",26921
"carcharhinidae",26153
"family indet.",23648
"spiriferidae",23368
"camarotoechiidae",22885
"colubridae",22693
"cardiidae",21943
"sciuridae",21927
"nymphalidae",21737
"pectinidae",20555
"parulidae",19683
"naticidae",18858
"globigerinidae",18220
"geomyidae",18186
"palinuridae",18018
"ostreidae",18002
"canidae",17773
"lucinidae",17566
"conidae",17453
"scaphitidae",17276
"atrypidae",17108
"productidae",16714
"buccinidae",16564
"muridae",16247
"arcidae",16125
"hyopsodontidae",15921
"lamnidae",15822
"anatidae",15487
"rugosochonetidae",15418
"tyrannidae",15375
"tellinidae",15337
"bovidae",15273
"tephritidae",15218
"turritellidae",14838
"pinaceae",14479
"productellidae",13881
"limopsidae",13874
"rhinocerotidae",13382
"fasciolariidae",13083
"teredinidae",13001
"testudinidae",12837
"calyptraeidae",12679
"lophophyllidiidae",12296
"lycosidae",12293
"ranidae",12008
"pieridae",11875
"bufonidae",11775
"fringillidae",11646
"retziellidae",11621
"carabidae",11443
"picidae",11343
"procellariidae",11326
"icteridae",11318
"rhipidomellidae",11294
"gekkonidae",11023
"hesperiidae",10773
"alligatoridae",10754
"cypraeidae",10723
"trochilidae",10693
"cervidae",10651
"mactridae",10600
"nuculidae",10539
"carditidae",10519
"eomyidae",10375
"strophomenidae",10363
"gryphaeidae",10360
"columbidae",10314
"ceratobatrachidae",10272
"mytilidae",10266
"meristellidae",10090
"thraupidae",10075
"medullosaceae",10039
"nassariidae",9851
"myalinidae",9805
"globorotaliidae",9792
"plectorthidae",9772
"favositidae",9733
"calamitaceae",9685
"scolopacidae",9580
"soricidae",9340
"didelphidae",9209
"marattiaceae",9163
"holocentridae",9145
"fagaceae",9116
"chonetidae",9075
"corbulidae",9026
"lepisosteidae",8958
"columbellidae",8901
"eleutherodactylidae",8844
"papilionidae",8693
"polygyridae",8630
"cerithiidae",8612
"turdidae",8587
"pentremitidae",8566
"accipitridae",8561
"microhylidae",8516
"athyrididae",8456
"phalacrocoracidae",8407
"curculionidae",8325
"stomiidae",8298
"inoceramidae",8223
"vespertilionidae",8129
"phrynosomatidae",8026
"proserpinidae",7894
"olividae",7877
"sphaerodactylidae",7790
"heteromyidae",7760
"dalmanellidae",7742
"gosseletinidae",7674
"phasianidae",7662
"corvidae",7644
"neoplagiaulacidae",7575
"hyperoliidae",7567
"nuculanidae",7501
"capromyidae",7475
"hadrosauridae",7441
"astartidae",7434
"fusulinidae",7415
"eurypteridae",7271
"orthoceratidae",7213
"cupressaceae",7182
"ischyromyidae",7176
"merycoidodontidae",7002
"muscicapidae",6963
"dasypodidae",6931
"rallidae",6912
"clausiliidae",6895
"turridae",6893
"tayassuidae",6868
"kinosternidae",6814
"pleuroceridae",6762
"fissurellidae",6674
"cardinalidae",6655
"linyphiidae",6654
"planorbidae",6630
"strombidae",6629
"tenebrionidae",6613
"glycymerididae",6523
"lophophyllidae",6523
"pyramidellidae",6464
"volutidae",6435
"gonostomatidae",6426
"antilocapridae",6417
"odontaspididae",6392
"zaphrentidae",6340
"marginellidae",6276
"laridae",6237
"ambocoeliidae",6210
"platyceratidae",6198
"phenacodontidae",6194
"felidae",6166
"cyprinidae",6138
"crocodylidae",6065
"troglodytidae",6062
"phocidae",6059
"linoproductidae",6016
"achatinellidae",6007
"littorinidae",5969
"phyllostomidae",5955
"sternoptychidae",5909
"helicidae",5908
"eotomariidae",5877
"urocoptidae",5865
"lepidodendraceae",5832
"anomiidae",5773
"chrysomelidae",5759
"neritidae",5722
"dentaliidae",5668
"crassatellidae",5621
"salticidae",5590
"trochidae",5579
"centrarchidae",5574
"halictidae",5571
"cancellariidae",5537
"trionychidae",5415
"baculitidae",5413
"aulophyllidae",5408
"teiidae",5405
"terebridae",5402
"stropheodontidae",5390
"myliobatidae",5381
"turbinidae",5341
"chamidae",5303
"orthotetidae",5189
"leptomerycidae",5160
"odontophoridae",5136
"helicinidae",5115
"rhynchotrematidae",5099
"vaginulinidae",5082
"punctospiriferidae",5055
"strigidae",5022
"salicaceae",4985
"nodosariidae",4980
"auloporidae",4944
"scombridae",4942
"physidae",4927
"nesophontidae",4906
"sciaenidae",4886
"betulaceae",4865
"araneidae",4831
"mustelidae",4800
"captorhinidae",4766
"hirundinidae",4745
"microsyopidae",4672
"malletiidae",4646
"vireonidae",4614
"glossopteridaceae",4596
"staphylinidae",4547
"bulimulidae",4536
"furnariidae",4516
"asaphidae",4496
"notharctidae",4458
"agamidae",4452
"donacidae",4451
"phrynobatrachidae",4447
"psittacidae",4425
"anguidae",4365
"euomphalidae",4334
"obolidae",4325
"viperidae",4295
"aviculopectinidae",4281
"balanidae",4278
"tipulidae",4273
"elythidae",4272
"semelidae",4269
"physeteridae",4267
"paridae",4260
"pterineidae",4252
"viviparidae",4250
"cichlidae",4238
"thamnophilidae",4218
"brontotheriidae",4202
"sapindaceae",4197
"phacopidae",4171
"olivellidae",4158
"ambystomatidae",4119
"enteletidae",4032
"streptelasmatidae",4002
"elephantidae",3983
"thecidellinidae",3950
