"index.genus","reps"
"",1023839
"anolis",60042
"genus",55119
"carinoidea",53152
"unidentified",45333
"triticites",37972
"composita",31210
"equus",25028
"parahippus",23830
"camarotoechia",22823
"conus",17013
"avus",16961
"pheidole",16451
"trachemys",16301
"spirifer",15612
"gastrozona",14998
"peromyscus",14634
"litoria",14336
"limopsis",13862
"atrypa",13376
"hyopsodus",13370
"microtus",13255
"indet. brachiopod",13079
"turritella",12798
"chione",12729
"formica",12662
"archaeohippus",12604
"carcharhinus",12580
"marrella",12540
"emoia",12373
"\angiosperm leaf dicot\",12097
"hustedia",11621
"desmognathus",11502
"sylvilagus",11297
"camponotus",11199
"lasius",10929
"plethodon",10708
"ostrea",10696
"lophophyllidium",10528
"neotoma",10373
"bison",9569
"rhipidomella",9274
"alligator",8898
"globigerinoides",8888
"hyracotherium",8884
"eleutherodactylus",8798
"canis",8689
"sphenomorphus",8679
"ostichthys",8621
"pecopteris",8614
"hydraena",8349
"pentremites",8338
"phalacrocorax",8240
"mesodma",7950
"hesperotestudo",7888
"pterodroma",7608
"chonetes",7511
"pardosa",7508
"productus",7441
"\angiosperm reproductive structure\",7256
"quercus",7174
"anadara",7163
"negaprion",7036
"batrachylodes",7008
"myrmica",6887
"picea",6778
"protocardia",6611
"tellina",6555
"odocoileus",6497
"eurypterus",6437
"sigmodon",6416
"crepidula",6318
"rana",6282
"inoceramus",6136
"nassarius",6125
"favosites",6019
"neospirifer",5726
"diaphus",5716
"platystrophia",5684
"eumys",5567
"globorotalia",5515
"cypraea",5489
"sphaerodactylus",5385
"cerithium",5347
"palaeolagus",5340
"echmatemys",5337
"hyperolius",5334
"hoploscaphites",5313
"nucula",5300
"setophaga",5291
"baculites",5177
"isurus",5172
"sceloporus",5141
"pecten",5052
"punctospirifer",5050
"arca",5038
"leptomeryx",5034
"tympanogaster",4996
"anomia",4985
"arionoceras",4985
"ammozoides",4950
"merychippus",4934
"linoproductus",4923
"nesophontes",4906
"papilio",4835
"globigerina",4805
"athyris",4740
"scaphites",4736
"natica",4721
"macoma",4684
"neuropteris",4632
"galeocerdo",4594
"spermophilus",4546
"exogyra",4542
"pinus",4528
"polygyra",4508
"glabrocingulum",4475
"phrynobatrachus",4448
"thomomys",4439
"achatinella",4415
"solenopsis",4394
"captorhinus",4382
"dendroica",4375
"corbula",4353
"oliva",4339
"crurithyris",4317
"teleoceras",4308
"trepospira",4288
"bufo",4284
"elliptio",4264
"carlia",4257
"helix",4245
"holmesina",4229
"stereostylus",4224
"derbyia",4216
"isochonetes",4215
"donax",4214
"orthoceras",4173
"terebra",4168
"cladochonus",4165
"isolobodon",4147
"glycymeris",4118
"neogloboquadrina",4084
"myalina",4074
"lucina",4066
"carcharocles",4060
"ambystoma",4050
"indet. conodonts",4050
"lithobates",4020
"meristella",3987
"nuculana",3987
"pseudemys",3938
"glossopteris",3917
"dentalium",3913
"crematogaster",3911
"strophodonta",3908
"enteletes",3905
"venericardia",3897
"calamites",3892
"monomorium",3892
"desmoinesia",3865
"chama",3858
"callophoca",3845
"vireo",3839
"gryphaea",3815
"lampanyctus",3810
"bellerophon",3752
"hemipristis",3752
"bankia",3719
"cardium",3706
"leptaena",3705
"ochthebius",3704
"turdus",3682
"littorina",3673
"polinices",3672
"astarte",3652
"aviculopecten",3645
"pogonomyrmex",3610
"tapirus",3603
"mulinia",3601
"teredo",3601
"euphemites",3576
"nannippus",3571
"mammuthus",3565
"olivella",3559
"marginifera",3547
"leiorhynchus",3509
"anas",3478
"essexella",3478
"eurema",3403
"strombus",3391
"phricodothyris",3379
"receptaculites",3370
"neverita",3367
"achrioptera",3359
"lasioglossum",3349
"liguus",3349
"nuculopsis",3348
"colinus",3341
"meristina",3341
"acris",3322
"cleiothyridina",3322
"indet. coral",3320
"gymnochthebius",3313
"neokoninckophyllum",3305
"platygonus",3302
"dalmanella",3298
"aphaenogaster",3285
"strophomena",3273
"urocoptis",3244
"mercenaria",3242
"indet. bryozoan",3238
"cyclothone",3215
"hemiauchenia",3181
"dicroidium",3174
"crocodylus",3170
"lepus",3162
"lissochonetes",3154
"lampsilis",3143
"zaphrentis",3131
"melospiza",3109
"centropomus",3108
"argopecten",3107
"cormohipparion",3102
"annularia",3089
"ischyromys",3079
"physa",3077
"nerita",3071
"calliostoma",3070
"cerion",3064
"crucibulum",3061
"peratherium",3057
"plicatula",3057
"pristimantis",3054
"proheteromys",3050
"cancellaria",3029
"physeterula",3029
"carcharodon",3027
"sandia",2977
"dendropsophus",2971
"parus",2962
"dendraster",2960
