"index.kingdom","reps"
"animalia",4979318
"",517634
"plantae",288908
"protista",124494
"chromista",72794
"protoctista",22971
"2017-07-17",8216
"ichnofossil",2073
"fungi",1279
"protozoa",1217
"1971-05-17",670
"taxon indet.",592
"1998-06-01",571
"2015-12-31",506
"1971-12-31",423
"1999-06-01",310
"2011-07-19",308
"1968-04-12",293
"2015-08-13",280
"2001-01-01",245
"eubacteria",233
"bacteria",208
"1966-12-31",199
"to be looked up",165
"2001-06-01",161
"1974-01-01",157
"1967-05-28",141
"2011-07-05",137
"mineral",132
"1985-01-01",126
"1995-03-20",124
"2014-10-07",123
"1967-05-30",122
"2015-08-15",116
"2011-07-15",114
"1970-06-26",107
"2011-07-16",104
"2015-07-31",97
"2002-06-01",96
"unplaced_kingdom",95
"2012-12-12",88
"2011-07-18",84
"eukaryota",80
"2013-05-17",79
"metazoa",79
"1970-06-18",77
"2011-06-30",76
"chlorobiota",76
"2011-07-04",75
"1970-06-13",66
"1970-06-16",59
"1986-02-07",56
"algae (artificial group)",56
"2011-06-19",54
"2011-07-22",54
"1967-05-29",53
"2008-05-17",53
"2011-06-18",53
"1994-10-19",52
"1970-06-15",51
"2011-07-01",51
"1968-04-11",48
"2010-02-28",48
"2011-06-17",48
"1995-03-21",47
"monera",46
"1968-04-10",45
"1995-09-02",45
"2014-09-15",45
"1970-06-23",42
"1970-06-11",41
"1999-02-25",41
"2016-04-11",41
"1974-01-12",39
"1970-06-22",38
"2011-06-16",38
"viridiplantae",38
"1970-06-19",37
"1999-08-27",37
"2007-06-25",37
"1971-06-20",36
"1996-07-01",36
"1946-07-03",34
"1971-06-30",33
"2011-06-29",33
"1970-03-22",32
"1971-10-23",32
"2013-09-18",32
"1971-07-18",31
"1988-08-01",31
"2007-06-04",31
"1999-04-01",30
"2011-07-02",30
"2011-07-17",30
"2012-02-10",30
"1905-05-26",29
"1970-06-14",29
"1986-02-06",29
"1986-02-08",29
"1995-07-29",29
"2004-06-01",29
"2013-03-12",29
"2013-10-14",29
"1970-06-30",28
"1971-06-07",28
"1999-02-19",28
"2010-02-27",28
"2013-03-04",28
"1970-01-01",27
"1995-08-12",27
"2013-04-08",27
"2013-05-15",27
"1957-03-22",26
"1984-03-25",26
"1993-11-10",26
"2002-08-01",26
"2007-06-01",26
"2011-07-14",26
"2013-03-11",26
"2013-04-22",26
"2013-10-13",26
"2015-07-14",26
"2016-03-30",26
"1975-06-12",25
"0006-01-03",24
"1995-07-28",24
"2011-07-03",24
"2013-04-21",24
"2013-05-08",24
"1989-06-30",23
"1994-10-20",23
"1999-07-01",23
"2015-07-17",23
"1973-05-14",22
"1995-08-19",22
"2008-08-13",22
"2013-10-12",22
"2017-10-01",22
"1971-06-14",21
"1977-05-31",21
"1993-11-03",21
"2006-12-25",21
"2014-10-28",21
"1970-03-01",20
"1970-06-09",20
"1985-10-21",20
"1995-05-06",20
"1995-10-12",20
"1999-02-01",20
"2010-02-26",20
"2015-09-18",20
"1966-12-29",19
"1967-03-22",19
"1971-06-15",19
"1971-06-17",19
"2010-02-07",19
"2011-06-21",19
"2015-08-01",19
"2015-09-17",19
"1967-03-21",18
"1971-06-21",18
"1973-04-28",18
"2013-02-06",18
"microfossils/palynology",18
"1946-07-05",17
"1966-12-30",17
"1973-01-01",17
"1987-01-08",17
"1988-08-22",17
"1995-03-22",17
"1999-02-18",17
"2013-01-30",17
"undetermined",17
"1970-06-20",16
"1989-12-28",16
"1993-11-24",16
"1994-11-22",16
"1995-03-23",16
"1995-06-10",16
"1995-09-06",16
"1995-09-23",16
"2011-07-23",16
"2016-04-01",16
"1960-11-27",15
"1973-10-22",15
"1995-06-19",15
"1995-08-09",15
"1995-10-28",15
"2003-06-01",15
"2011-06-20",15
"2013-02-01",15
"unknown",15
"1967-03-23",14
"1994-11-11",14
"1994-12-29",14
"1995-09-30",14
"2007-05-31",14
"2011-11-22",14
"1984-03-13",13
"1995-09-16",13
"1996-08-25",13
"2010-02-08",13
"2010-09-01",13
"2011-11-15",13
"2011-11-21",13
"2012",13
"2012-09-03",13
"1964",12
"1987-01-07",12
"1993-11-11",12
"1998-07-01",12
"2010",12
"2012-07-04",12
"2013-02-12",12
"2013-02-25",12
"chromalveolata",12
"1971-05-30",11
"1972-12-31",11
"1973-11-16",11
"1983-12-10",11
"1984-05-17",11
"1984-11-08",11
"1985-03-14",11
"1985-09-19",11
"1989-12-27",11
"1993-11-09",11
"1993-12-02",11
"1995-08-24",11
"2011-11-11",11
"2011-11-25",11
"2013-05-13",11
"2013-09-06",11
"2015-04-01",11
"2015-08-07",11
"2016-04-18",11
"1970-06-01",10
"1970-06-17",10
"1971-06-16",10
"1972-01-01",10
"1975-12-05",10
"1978-04-01",10
"1984-01-01",10
"1985-02-24",10
"1985-08-03",10
"1985-09-27",10
"1986-01-02",10
"1987-09-06",10
"1996-08-03",10
"1999-09-27",10
"2009-12-21",10
"2010-03-31",10
"2011-12-09",10
"2013-05-07",10
"2013-05-24",10
"2013-08-15",10
"2013-10-10",10
"2014-11-02",10
"2015-08-05",10
"2015-10-05",10
"1968-07-25",9
"1971-06-13",9
"1984-07-06",9
"1984-07-07",9
"1986-06-14",9
"1986-09-14",9
"1987-07-17",9
"1988-05-22",9
"1989-05-31",9
"1995-05-13",9
"1995-06-09",9
"1995-07-08",9
"1995-11-01",9
"1996-08-24",9
"2008",9
"2011-11-02",9
"2011-11-09",9
"2013-01-28",9
"2013-02-20",9
"2013-05-14",9
"2015-01-15",9
"2015-01-28",9
"2016-02-23",9
"1985-09-21",8
"1986-01-25",8
"1987-02-21",8
"1988-08-14",8
"1989-12-26",8
"1991-12-05",8
"1995-04-24",8
"1995-08-04",8
