"index.order","reps"
"",1232309
"passeriformes",217327
"squamata",209557
"rodentia",195047
"neogastropoda",163032
"hymenoptera",147068
"perissodactyla",136914
"veneroida",132615
"anura",125344
"artiodactyla",102988
"lepidoptera",99475
"coleoptera",99041
"stylommatophora",95770
"foraminiferida",90778
"littorinimorpha",89916
"testudines",79902
"decapoda",66088
"productida",63009
"araneae",60128
"diptera",59820
"athyridida",56704
"perciformes",55097
"rhynchonellida",55016
"spiriferida",51984
"carnivora",47954
"ammonoidea",45864
"orthida",44470
"arcoida",42324
"pterioida",38300
"rotaliida",37770
"caudata",37237
"pectinoida",33330
"unplaced",33247
"carcharhiniformes",31820
"stauriida",31401
"lagomorpha",31344
"unionoida",31311
"myoida",31269
"strophomenida",31073
"myctophiformes",30687
"ostreoida",30126
"chordata",28295
"charadriiformes",27309
"condylarthra",25807
"multituberculata",25639
"primates",25621
"lamniformes",24500
"hemiptera",24109
"carditoida",23560
"pinales",23542
"stomiiformes",23283
"terebratulida",22293
"chiroptera",22159
"cycloneritimorpha",20895
"ptychopariida",20363
"scleractinia",18533
"crocodylia",18492
"atrypida",18271
"soricomorpha",18040
"fagales",17484
"cetacea",17066
"neotaenioglossa",16974
"phacopida",16920
"lucinoida",16509
"anseriformes",16273
"rugosa",16102
"piciformes",14794
"podocopida",14474
"murchisoniina",14342
"hygrophila",14138
"trepostomatida",13592
"galliformes",13469
"nuculanoida",13441
"lagenida",13242
"clypeasteroida",13106
"procellariiformes",12892
"apodiformes",11965
"equisetales",11699
"proboscidea",11533
"lingulida",11510
"myliobatiformes",11268
"tabulata",11027
"marattiales",10908
"orthocerida",10635
"mytiloida",10526
"columbiformes",10354
"spiraculata",10326
"cheilostomatida",10246
"archaeogastropoda",10147
"spiriferinida",9961
"beryciformes",9818
"pilosa",9789
"anguilliformes",9784
"monobathrida",9748
"accipitriformes",9526
"rosales",9491
"spatangoida",9486
"didelphimorphia",9283
"suliformes",9118
"orthotetida",9081
"cingulata",9079
"cladida",9056
"lepisosteiformes",9046
"tetraodontiformes",8897
"sorbeoconcha",8800
"caenogastropoda",8630
"cephalaspidea",8377
"nuculida",8270
"order indet.",8106
"euomphalina",8067
"gruiformes",7957
"siluriformes",7724
"cypriniformes",7682
"favositida",7432
"sapindales",7300
"aulopiformes",7272
"opiliones",6840
"lituolida",6721
"marsupialia",6661
"pentamerida",6344
"nautilida",6308
"palaeocopida",6109
"strigiformes",6061
"agelasida",6027
"ammonitida",5987
"graptoloidea",5812
"sessilia",5809
"amiiformes",5790
"anomalodesmata",5736
"dentaliida",5710
"ferae",5682
"saurischia",5513
"orthoptera",5462
"medullosales",5455
"gadiformes",5360
"malpighiales",5301
"cidaroida",5220
"characiformes",4993
"auloporida",4898
"chitonida",4769
"palaeonisciformes",4749
"cystoporida",4741
"scorpaeniformes",4699
"erinaceomorpha",4661
"nuculoida",4562
"pelecaniformes",4501
"miliolida",4491
"fusulinida",4482
"insectivora",4472
"sauria",4466
