"index.specificepithet","reps"
"",2033134
"sp",131081
"sp.",66177
"leonensis",22921
"haraganensis",16288
"splendens",13795
"floridanus",13178
"blackbergi",12274
"inflata",12262
"striatopunctatus",12250
"cinereus",10614
"elegans",9570
"carolinensis",9240
"occidentalis",8116
"americana",7805
"canadensis",7584
"ruber",6616
"virginianus",6572
"mississippiensis",6517
"gracilis",6512
"subquadrata",6497
"cooperi",6106
"lepidus",6093
"americanus",6070
"sagrei",6019
"megalodon",5933
"cancellata",5755
"simplex",5557
"filyawi",5310
"australis",5285
"distichus",5248
"alba",5125
"moesta",5098
"fuscus",5003
"floridana",4901
"affinis",4861
"striata",4783
"fusca",4441
"unita",4430
"vasacciense",4398
"brevirostris",4397
"grandis",4306
"hispidus",4289
"portoricensis",4254
"aguti",4250
"nicolletii",4212
"pennsylvanicus",4169
"tennesseensis",4161
"lockingtonianus",4143
"variabilis",4116
"fasciatus",4053
"nebrascensis",3880
"ornatus",3811
"maniculatus",3797
"dirus",3780
"borealis",3750
"californicus",3709
"costata",3694
"major",3689
"reticularis",3689
"texana",3685
"minor",3660
"mazonensis",3653
"gigas",3625
"cinerea",3624
"bicolor",3608
"concentrica",3579
"granulifer",3573
"mivarti",3562
"morrowensis",3546
"platymarginata",3544
"cybotes",3529
"communis",3482
"asherae",3470
"californica",3463
"subtilita",3462
"alternata",3399
"ovata",3399
"ochrophaeus",3386
"exilis",3362
"magna",3350
"cristatellus",3275
"kolthoffi",3262
"serra",3249
"phaeopygia",3235
"darlingtoni",3177
"magister",3169
"timberensis",3153
"weaveri",3116
"niger",3095
"formosa",3081
"punctatus",3067
"striatus",3046
"welleri",3044
"marmoratus",3033
"olseni",3020
"crassa",3002
"minutus",2985
"scouleri",2983
"crepitans",2973
"solomonis",2970
"spinosa",2955
"extremus",2927
"kentuckensis",2906
"ovatus",2900
"radiata",2898
"minuta",2880
"scripta",2869
"tenuis",2864
"roemeri",2852
"fragilis",2834
"robustus",2828
"nasuta",2824
"rugosa",2822
"species",2818
"laevis",2809
"lateralis",2808
"ornata",2786
"nitida",2769
"bella",2761
"maria",2752
"biplicata",2714
"miseri",2701
"fossiger",2699
"hastalis",2674
"carinatus",2667
"parva",2657
"lineatus",2654
"pusilla",2649
"bellus",2618
"gibbosa",2585
"armatus",2578
"plummeri",2578
"aculeatus",2569
"cristata",2556
"typus",2549
"hyperostosus",2546
"bulloides",2531
"parvus",2517
"eatoni",2515
"macrocephala",2510
"gapperi",2500
"donohoei",2485
"elongata",2475
"harlani",2462
"leucopus",2445
"vetus",2444
"temnodon",2438
"minimus",2424
"californiensis",2405
"mexicana",2392
"cyanura",2390
"corrugata",2360
"stanleyanus",2356
"marginata",2349
"sandwichensis",2349
"proterus",2346
"ovalis",2339
"remipes",2334
"purduei",2332
"complanata",2323
"sacculifer",2323
"obscura",2313
"vertebralis",2307
"orbicularis",2303
"pusillus",2297
"walcotti",2296
"texanus",2275
"alpestris",2264
"melodia",2264
"septaria",2264
"hyemalis",2263
"auriculata",2262
"socialis",2258
"danae",2253
"vittatus",2197
"paulus",2184
"becki",2180
"zinsmeisteri",2180
"meeki",2175
"rugosus",2173
"halli",2166
"palustris",2163
"oregonensis",2135
"montanus",2131
"mirifica",2126
"oklahomensis",2125
"guentheri",2122
"incompta",2106
"missouriensis",2098
"acuminata",2087
"jamaicensis",2085
"indicus",2079
"americanum",2075
"plicata",2069
"maculata",2062
"polionotus",2040
"callophyla",2037
"mexicanus",2030
"ponderosa",2028
"elevata",2026
"versicolor",2024
"nitidus",2007
"gregarium",2000
"stimpsoni",1992
"occidentale",1989
"burlingtonensis",1983
"eruciformis",1982
"ferox",1978
"muricata",1976
"glabra",1974
"varians",1967
"griswoldi",1966
"longicornis",1965
"carinata",1961
"aeneus",1957
"thompsoni",1952
"laevigata",1951
"grahami",1948
"flaviventris",1946
"johnsoni",1926
"opalinus",1925
"fasciata",1921
"undulata",1920
"acuta",1916
"enormis",1916
"elongatum",1915
"gregaria",1907
"godoni",1906
"planoconvexa",1906
"viridescens",1903
"elongatus",1901
"leidyi",1896
"virens",1882
"sarda",1878
"passerina",1877
"savagei",1877
"auratus",1874
"campechiensis",1868
"perplexa",1866
"plana",1866
"depressa",1864
"punctata",1858
"rhomboidalis",1855
"maculatus",1849
"taurus",1849
"reticulata",1844
"prattae",1841
"spiriferoides",1832
"transversa",1821
"septentrionalis",1820
"aztecus",1815
"bison",1810
"insignis",1800
"castanea",1792
"bufo",1791
"varia",1790
"riparius",1789
"glutinata",1787
"inflatus",1786
"rostrata",1785
"chipolana",1783
"fornicata",1782
"arizonensis",1781
"pachyderma",1781
"davisi",1780
"pacificus",1780
"crassiscutata",1776
"wolfi",1771
"latrans",1767
"cuneata",1764
"oblongus",1757
"nobilis",1748
"glauca",1742
"profundum",1727
"granulata",1726
"nivosus",1723
"similis",1714
"brevis",1711
"zibethicus",1711
"nanus",1707
"scabra",1699
"longirostris",1697
"intermedius",1695
"lata",1694
"rana",1694
"coronata",1691
"geminata",1690
"virginiana",1689
"nuttalli",1681
"capensis",1674
"grammicus",1671
"culbertsoni",1668
"lineata",1666
"atlanticus",1661
"whitfieldi",1654
"duplicata",1649
"aquaticus",1646
"robusta",1646
"modesta",1641
"sulcata",1640
"wortheni",1634
"gundlachi",1632
"irregularis",1630
"kingii",1628
"concinnatus",1627
"refugiensis",1625
"bicarinata",1624
"nevadensis",1623
"phoeniceus",1621
"atoka",1620
"reimschiisseli",1618
"whitei",1614
"maximus",1611
"pleurexanthemus",1609
"marionensis",1606
"serrata",1606
"flavus",1594
"flemingi",1592
"bermudae",1591
"slocomi",1591
"libens",1590
"gazini",1588
"girtyi",1585
"gigantea",1583
"hudsonicus",1581
"regularis",1578
"strophomenoides",1572
"caespitum",1562
"irradians",1561
"truncata",1557
"mortoni",1553
"nana",1552
"romingeri",1552
"speciosa",1552
"griseus",1549
"picta",1546
"gouldii",1543
"arctica",1538
"lugubris",1534
"natalensis",1534
"rectangula",1530
"frechi",1528
"pulchellus",1528
"carolina",1523
"confluens",1519
"antillarum",1514
"brevicauda",1514
"giganteus",1506
"quadrata",1506
"spinulosa",1493
"albicollis",1491
"setosa",1491
"cornuta",1487
"montana",1483
"erosa",1482
"chipolanus",1481
"cameratus",1470
"pallida",1469
"pyriformis",1469
"kansasensis",1468
"guttatus",1466
"typica",1466
"caerulea",1464
"viridis",1456
"conradi",1453
"leucophrys",1451
"compressus",1450
"flavipes",1442
"imbricata",1441
"dalli",1439
"alienus",1435
"calva",1435
"elecebra",1435
"aureatagulus",1433
"migratorius",1433
"mucronatus",1432
"tuberculata",1432
"whitneyi",1430
"alatus",1428
"xizangensis",1427
"polymorpha",1423
"pallitarsis",1421
"pulchra",1420
"couesi",1418
"cuvier",1418
"ludovicianus",1412
"rufus",1407
"brahma",1406
"grayi",1401
"pectinata",1401
"depressus",1400
"virginica",1398
"dubia",1397
"vera",1397
"compressa",1393
"olivaceus",1392
"rufescens",1390
"bilinearis",1384
"floridanum",1382
"sloani",1381
"canaliculata",1378
"erythrophthalmus",1378
"concava",1376
"alleni",1373
"orientalis",1372
"gouldi",1371
"petechia",1371
"voratus",1371
"glacialis",1366
"pustulosa",1363
"saffordi",1363
"plicatella",1361
"tardus",1361
"intermedia",1357
"argonautus",1351
"goreii",1344
"scalaris",1342
"arata",1333
"pensylvanica",1333
"obsoleta",1330
"vialis",1320
"subcarinata",1319
"caelata",1317
"diaphana",1316
"vulgaris",1316
"staminea",1314
"meniscus",1312
"conicus",1309
"marylandica",1309
"pictus",1308
"luciae",1304
"spinosum",1303
"hannibali",1302
"attenuata",1300
"rustica",1300
"trampasense",1299
"septentionalis",1298
"obscurus",1294
"ventricosa",1290
"sayana",1285
"orbiculata",1284
"undata",1280
"congesta",1279
"subovata",1278
"undulatus",1278
"nambeense",1277
"monticola",1276
"suilium",1275
"flava",1273
"wyomingensis",1272
"papua",1271
"dominicensis",1265
"pygmaea",1262
"proxima",1259
"mormoni",1251
"adversarius",1250
"nigra",1246
"globosa",1243
"tabulata",1237
"ferus",1233
"fischeri",1233
"junnei",1233
"saxatilis",1233
"malacorhinus",1232
"angiana",1231
"carbonaria",1226
"angulata",1225
"coronatus",1225
"pacifica",1223
"simus",1222
"volans",1220
"aspera",1219
"capax",1217
"ventricosus",1215
"acutus",1213
"trichas",1213
"rectangularis",1212
"speirianus",1212
"agilis",1211
"webbi",1209
"macrolepis",1207
"pubescens",1206
"wetmorei",1206
"cubensis",1205
"unio",1205
"valdiviae",1204
"varius",1202
"nodosus",1200
"gossypinus",1195
"pallidiceps",1192
"laeostomum",1190
"ambigua",1189
"clarki",1187
"auritus",1185
