"kingdom","reps"
"Animalia",4546878
"",673070
"ANIMALIA",289116
"Plantae",273125
"Protista",119720
"Protoctista",69088
"Chromista",9671
"2017-07-17",8229
"PROTISTA",4774
"Ichnofossil",3554
"Taxon indet.",1888
"2015-12-31",1273
"1998-06-01",1077
"Fungi",970
"1971-12-31",942
"Monera",861
"1999-06-01",781
"Protozoa",714
"1971-05-17",684
"1968-04-12",516
"2001-06-01",381
"2011-07-19",309
"1967-05-28",293
"Eubacteria",287
"2015-08-13",282
"1966-12-31",255
"2001-01-01",255
"Bacteria",253
"2002-06-01",247
"Algae (artificial group)",247
"2013-05-17",234
"To be looked up",216
"1974-01-01",204
"Eukaryota",183
"1967-05-30",179
"1970",157
"2013-05-15",153
"1970-06-26",150
"Metazoa",146
"2011-07-05",137
"Mineral",132
"1985-01-01",126
"1995-03-20",124
"2014-10-07",123
"1972-12-31",121
"1970-01-01",119
"2011-07-15",116
"2015-08-15",116
"1970-06-13",113
"1970-06-18",112
"2014-09-15",112
"1999-02-25",110
"2013-09-18",110
"1999-02-19",106
"2011-07-16",104
"1999-04-01",102
"2016-04-11",99
"2015-07-31",97
"1970-06-30",96
"1968-04-10",95
"1970-06-23",95
"Unplaced_kingdom",95
"1995-06-19",94
"1995-05-27",93
"1999-02-01",92
"2012-12-12",92
"1974-01-12",90
"1995-07-29",90
"1905-05-26",89
"Group Default",89
"2013-07-15",85
"1957-03-22",84
"1968-04-11",84
"2011-07-18",84
"2008-11-11",83
"1970-06-09",82
"2010-02-28",82
"1995-10-12",80
"1994-11-11",79
"1995-10-28",78
"2007-06-12",78
"1975-06-12",77
"1971-06-07",76
"1995-07-28",76
"2011-06-30",76
"Chlorobiota",76
"2011-07-04",75
"1967-05-29",73
"2017-10-01",73
"1970-06-15",70
"2015-08-01",69
"2007-06-18",68
"1970-06-16",67
"1995-08-09",67
"1995-09-16",67
"2013-03-12",66
"2016-04-08",65
"1971-06-20",64
"1986-02-07",64
"1995-09-23",64
"2012-09-16",64
"1971-06-30",63
"1999-02-18",61
"1970-06-19",59
"1970-06-22",58
"1995-12-02",58
"2013-07-16",58
"1946-12-31",57
"1982-11-04",57
"2004-06-01",57
"1995-09-02",56
"1995-07-02",55
"2007-06-25",55
"1973-04-28",54
"2007-06-08",54
"2011-06-19",54
"2011-07-22",54
"2007-06-14",53
"2008-05-17",53
"2011-06-18",53
"2015-07-14",53
"1994-10-19",52
"1995-07-08",52
"1995-08-12",52
"1995-08-17",52
"2013-03-04",52
"1971-06-17",51
"1995-06-15",51
"2011-07-01",51
"1989-06-30",50
"2016-04-06",50
"0006-01-03",49
"1946-07-31",49
"1970-06-11",49
"1986-02-08",49
"2013-04-21",49
"2013-07-18",49
"1946-07-03",48
"1995-06-24",48
"2011-06-17",48
"1995-03-21",47
"1995-08-24",47
"2013-06-24",47
"2013-08-02",47
"1995-07-12",46
"2015-11-06",46
"1999-08-27",45
"2007-06-19",45
"2013-03-11",45
"Viridiplantae",45
"1973-10-21",44
"2010-11-06",44
"2012-09-03",44
"1971-06-21",43
"1986-02-06",43
"1995-08-19",43
"2010-02-27",43
"1995-05-06",42
"1999-03-03",42
"2016-04-07",42
"1971-10-23",41
"1995-10-04",41
"2013-02-25",41
"2013-04-22",41
"2013-05-14",41
"1970-06-14",40
"2011-11-21",40
"2015-09-18",40
"2015-11-12",40
"2013-05-13",39
"2013-07-11",39
"2013-07-23",39
"2011-06-16",38
"1995-05-24",37
"1999-03-04",37
"2013-02-20",37
"1960-11-27",36
"1995-08-18",36
"1995-11-01",36
"1996-07-01",36
"2007-06-01",36
"2013-04-28",36
"2013-07-22",36
"1970-03-22",35
"1995-06-03",35
"1995-06-10",34
"1999-05-17",34
"2013-08-01",34
"1995-09-06",33
"1999-09-27",33
"2007-06-15",33
"2007-06-20",33
"2011-06-29",33
"2013-03-13",33
"2016-03-30",33
"1961-05-12",32
"1973-05-14",32
"1986-02-11",32
"2003-06-01",32
"2010-11-01",32
"2011-11-25",32
"2013-02-06",32
"2015-11-11",32
"1966-12-30",31
"1971-07-18",31
"1977-05-31",31
"1988-08-01",31
"1995-07-03",31
"2007-06-04",31
"2007-06-07",31
"2011-08-15",31
"2012-02-10",31
"2013-04-08",31
"2013-07-08",31
"2015-09-21",31
"1971-06-15",30
"1983-12-10",30
"1988-07-13",30
"2011-07-02",30
"2011-07-17",30
"1971-06-23",29
"1996-03-11",29
"2011-11-23",29
"2013-10-14",29
"1967-03-22",28
"1973-01-01",28
"1988-05-16",28
"1993-11-10",28
"1996-02-23",28
"1996-04-08",28
"2011-12-09",28
"2012-07-04",28
"2015-07-17",28
"1970-03-01",27
"1984-03-25",27
"1994-10-20",27
"1995-07-07",27
"2002-08-01",27
"2010-10-30",27
"2011-11-11",27
"2011-11-22",27
"2013-01-30",27
"2013-06-27",27
"1995-05-31",26
"2011-07-14",26
"2012-08-29",26
"2013-05-24",26
"2013-10-13",26
"Unknown",26
"1946-07-05",25
"1971-06-14",25
"1987-02-22",25
"1988-05-15",25
"1988-08-19",25
"1993-12-18",25
"1995-02-23",25
"2006-12-22",25
"2010-03-05",25
"2015-09-16",25
"Microfossils/Palynology",25
"1988-07-12",24
"1996-01-26",24
"1996-07-17",24
"2006-12-24",24
"2006-12-25",24
"2010-11-09",24
"2011-07-03",24
"2012-12-02",24
"2013-05-08",24
"2015-09-17",24
"1967-03-23",23
"1970-06-20",23
"1971-06-13",23
"1984-10-13",23
"1991-12-05",23
"1993-11-03",23
"1993-12-02",23
"1996-05-20",23
"1996-08-25",23
"1999-07-01",23
"2009-12-20",23
"2012-08-22",23
"2012-08-27",23
"2013-07-31",23
"2015-08-07",23
"Problematica",23
"1966-12-29",22
"1967-03-21",22
"1984-10-15",22
"1987-02-17",22
"1987-03-20",22
"1988-05-19",22
"1996-01-17",22
"2008-08-13",22
"2010-02-26",22
"2011-11-15",22
"2011-12-19",22
"2013-09-13",22
"2013-09-16",22
"2013-10-12",22
"2014-10-28",22
"2015-08-05",22
"1971-06-27",21
"1989-05-29",21
"1995-07-21",21
"2010-09-01",21
"2010-11-02",21
"2011-11-19",21
"2011-11-20",21
"2012-02-27",21
"2012-07-24",21
"2013-02-12",21
"2013-05-07",21
"2013-10-10",21
"1983-02-08",20
"1985-10-21",20
"1987-01-07",20
"1987-01-08",20
"1987-07-17",20
"1987-08-12",20
"1988-05-17",20
"1988-05-22",20
"1988-05-23",20
"1988-08-22",20
"1995-06-08",20
"1995-10-19",20
"1996-02-26",20
"2010-09-29",20
"2011-11-04",20
"2011-11-09",20
"2011-12-07",20
"2012-08-21",20
"2012-08-31",20
"2013-07-05",20
"2014-11-02",20
"1971-06-16",19
"1973-08-08",19
"1983-01-29",19
"1988-05-20",19
"1988-08-11",19
"1995-08-23",19
"1995-09-28",19
"2010-02-07",19
"2010-03-03",19
"2011-06-21",19
"2011-08-24",19
"2011-11-17",19
"2012-07-26",19
"2012-07-27",19
