"order","reps"
"",1493350
"Passeriformes",214174
"Squamata",200877
"Rodentia",162966
"Hymenoptera",147726
"Perissodactyla",127795
"Anura",124591
"Lepidoptera",98353
"Stylommatophora",92292
"Coleoptera",90884
"Foraminiferida",89122
"Artiodactyla",88939
"Neogastropoda",83961
"Veneroida",80222
"Testudines",67560
"Productida",65898
"Araneae",59974
"Athyridida",56674
"VENEROIDA",55536
"Chordata",53881
"NEOGASTROPODA",52348
"Spiriferida",52158
"Littorinimorpha",51613
"Ammonoidea",47393
"Rhynchonellida",45931
"NEOTAENIOGLOSSA",45040
"Orthida",44253
"Diptera",39962
"Pterioida",39456
"Perciformes",36073
"Carnivora",35052
"Unplaced",34490
"Caudata",33485
"Stauriida",31396
"Decapoda",30966
"Strophomenida",30838
"Myctophiformes",30672
"Carcharhiniformes",30212
"Unionoida",28625
"Charadriiformes",26471
"Lagomorpha",25838
"Arcoida",25274
"Condylarthra",25238
"RODENTIA",25231
"Primates",24964
"Multituberculata",23905
"Chiroptera",23089
"Myoida",21764
"Lamniformes",21344
"Ptychopariida",20096
"Hemiptera",19418
"Sorbeoconcha",19319
"Atrypida",18285
"Crocodylia",17271
"Phacopida",16961
"DECAPODA",16750
"Rugosa",16057
"Cetacea",15812
"OSTREOIDA",15732
"Anseriformes",15670
"Ostreoida",15573
"Pinales",15510
"Fagales",14930
"Ferae",14471
"Piciformes",14366
"Murchisoniina",14333
"Stomiatiformes",13635
"Galliformes",13048
"Procellariiformes",12783
"Marsupialia",12731
"Terebratulida",12690
"ARCOIDA",12266
"Nuculoida",12114
"Apodiformes",11896
"Orthocerida",11404
"Hygrophila",11087
"Tabulata",11057
"Falconiformes",10796
"Pelecaniformes",10750
"Rotaliida",10675
"Bellerophontida",10634
"Cycloneritimorpha",10460
"Caenogastropoda",10427
"Columbiformes",10386
"Spiraculata",10313
"Myliobatiformes",10300
"Spiriferinida",9954
"Monobathrida",9726
"Proboscidea",9524
"Tetraodontiformes",9182
"Pectinoida",9170
"Anguilliformes",9166
"Cladida",9161
"Orthotetida",9057
"Lepisosteiformes",8842
"Cingulata",8815
"Eulipotyphla",8809
"Insectivora",8779
"Order indet.",8256
"Venerida",8123
"Gruiformes",8062
"Euomphalina",8015
"Scleractinia",7769
"SCLERACTINIA",7764
"Sauria",7735
"Siluriformes",7519
"Cypriniformes",7499
"Favositida",7441
"ARTIODACTYLA",7435
"Lagenida",7432
"Pilosa",7410
"Mytiloida",7376
"Clypeasteroida",7118
"Opiliones",6834
"Lipotyphla",6832
"MYOIDA",6789
"Rosales",6710
"Cardiida",6706
"Aulopiformes",6575
"Trepostomata",6469
"Testudinata",6464
"Pentamerida",6362
"Medullosales",6317
"ARCHAEOGASTROPODA",6253
"Lingulida",6096
"Neotaenioglossa",6057
"Strigiformes",6013
"Graptoloidea",5993
"Marattiales",5916
"Ciconiiformes",5822
"Agelasida",5784
"Equisetales",5706
"Ammonitida",5696
"Pholadomyoida",5650
"Spatangoida",5530
"Saurischia",5366
"Gadiformes",5365
"Sapindales",5292
