"phylum","reps"
"Chordata",1672929
"",1009533
"Mollusca",973789
"Arthropoda",692194
"Brachiopoda",456806
"MOLLUSCA",223285
"Echinodermata",166225
"Tracheophyta",142695
"Cnidaria",112814
"Foraminifera",82712
"Rhizopoda",80673
"Granuloreticulosa",65736
"Bryozoa",47355
"Arthrpoda",29900
"Porifera",28071
"ARTHROPODA",24691
"Annelida",20381
"ECHINODERMATA",18469
"Protozoa",9632
"CNIDARIA",9105
"Animalia",8370
"BRYOZOA",7885
"Hemichordata",6795
"Pteridospermophyta",6630
"Hadrosauridae",6579
"Bison",5595
"Angiospermae",5021
"Graptolithina",4936
"Pteridophyta",4922
"SARCOMASTIGOPHORA",4764
"Chlorophyta",4536
"Problematica",3908
"Rhizaria",3835
"Dinosauria",3487
"Mammalia",2981
"Sphenophyta",2909
"BRACHIOPODA",2824
"Lycophyta",2447
"Ichnofossil",2437
"Incertae sedis",2437
"Equus",2433
"Arthropoda | Crustacea",2413
"Ichnofossil (invertebrate)",2146
"Gymnospermae",1921
"Magnoliophyta",1520
"Unplaced",1437
"Coelenterata",1412
"Rangifer",1406
"Picea glauca",1374
"Sipuncula",1345
"Mammuthus",1341
"Ichnotaxon",1314
"ICHNOFOSSIL",1298
"Ovibos",1143
"Peromyscus sp.",1086
"Plantae",1012
"Sylvilagus sp.",973
"Platyhelminthes",964
"Cyanophyta",897
"Ichnofossil (vertebrate)",886
"Radiozoa",867
"ANNELIDA",865
"Echiura",819
"Cnidaeia",816
"Microtus",688
"Vertebrata",658
"Aves",650
"Bivalvia",597
"Archaeocyatha",577
"Neotoma sp.",555
"Sipunculoida",518
"Gastropoda",502
"Lepus sp.",485
"Onychophora",485
"Vulpes velox",472
"Lemmus",465
"Ochrophyta",410
"Coragyps occidentalis",400
"Microtus sp.",394
"Rodentia",390
"Spermophilus",362
"Notiosorex dalquesti",356
"Glomeromycota",354
"Canis latrans",345
"unidentifiable",329
"Neotoma cinerea",312
"Predicrostonyx hopkinsi",309
"Crotalus sp.",308
"Phrynosoma hernandesi",296
"Algae",289
"Myotis velifer",285
"Neotoma leucodon",281
"Nemertea",268
"Sylvilagus nuttallii",268
"Coluber or Masticophis",267
"Corvus corax",264
"Aztlanolagus agilis",255
"Microtus mogollonensis",253
"Conulariida",250
"Equus scotti",250
"Gnathostomulida",250
"Erethizon dorsatum",246
"Lycopodiophyta",245
"Proboscidea",241
"To be looked up",240
"Haptophyta",238
"Lemmiscus curtatus",238
"Sylvilagus audubonii",235
"Cyanobacteria",233
"UNKNOWN",227
"Equisetophyta",226
"Gallus gallus",225
"Pinophyta",224
"Angiosperms - Dicot",218
"Stromatolites",214
"Equus sp.",211
"Equus conversidens",206
"Osteichthyes",204
"Vulpes sp.",195
"Crotaphytus collaris",194
"Ceratopsidae",190
"Microtus montanus",190
"Sauria",190
"Anthozoa",187
"Microtus ochrogaster",177
"Coniferophytes",175
"Cynomys gunnisoni",172
"Sorex merriami",167
"HEMICHORDATA",166
"Mammuthus primigenius",165
"Rhodophyta",163
"Rock (geology)",163
"Lynx rufus",161
"Meleagris gallopavo",160
"Nematoda",160
"Sus scrofa",158
"Alces",152
"Priapulida",151
"Corvus neomexicanus",150
"Incomplete record",150
"Ursus americanus",150
"PORIFERA",149
"Perognathus sp.",148
"Callipepla sp.",146
"Neotoma pygmaea",144
"Stockoceros conklingi",143
"Trilobita",143
"Caracara cheriway",141
"Nematomorpha",139
"Pecten",128
"Marchantiophyta",127
"Thomomys bottae",127
"Radiolariida",123
"Mephitis mephitis",122
"Conodonta",121
"Thomomys talpoides",121
"Bison priscus",120
"Heterokontophyta",118
"Belemnoidea",117
"Bryophyta",116
"Artiodactyla",115
"Microtus pennsylvanicus",113
"Dipodomys spectabilis",112
"Pseudofossil",107
"Taxidea taxus",107
"Ctenophora",106
"Theropoda",106
"Thomomys sp.",105
"Angiosperms - Eurosids I (Fabids)",104
"Neotoma leucodon cf.",104
"Hemiauchenia macrocephala",103
"None",103
"Cratogeomys castanops",101
"Spilogale gracilis or Spilogale putorius",100
"Cnideria",99
"Odocoileus sp.",99
"Brachiopods",98
"Streptophyta",98
"Thamnophis sp.",98
"Charophyta",94
"Anaxyrus sp.",92
"Otospermophilus variegatus",92
"Chiroptera",89
"Spermatophyta",89
"Phenacomys",87
"Lycophyta (lycophytes)",85
"CHORDATA",84
"Rhyniophyta",84
"Lobopodia",83
"Neotoma albigula",83
"Spermophilus sp.",83
"Corvus sp.",81
"Macoma",79
"Icteridae",78
"Myotis sp.",77
"Neotominae",77
"Cynomys sp.",76
"Osteichthyes sp.",76
"Chodata",75
"Cyclocardia",75
"Trachaeophytes",75
"Arvicolinae",74
"Clinocardium",73
"Naticidae",73
"Neptunea",73
"Unknown",73
"Cephalopoda",72
"Chondrichthyes",72
"Equus scotti cf.",70
"Chrysemys picta or Trachemys gaigeae",69
"Insecta",69
"Nuculana",68
"Ambystoma mavortium",67
"Mustela frenata",67
"Reithrodontomys cf.",67
"Troodontidae",67
"Turritella",66
"Rangifer tarandus",65
"Serpentes",65
"Crinoidea",64
"Gymnogyps californianus",64
"Ammonoidea",63
"Trionyx spiniferus",62
"Anaxyrus punctatus",61
"Equus conversidens cf.",61
"Vulpes velox cf.",61
"Marmota flaviventris",60
"Myzostomida",60
"Tyrannosauridae",59
"Dipodomys sp.",58
"Neotoma mexicana",58
"Turritella hamiltonensis",58
"Bassariscus astutus",57
"Corynorhinus sp.",57
"Canis lupus",56
"Fringillidae",56
"Eptesicus fuscus",55
"Passeriformes sp.",53
"Dicrostonyx",52
"Nothrotheriops shastensis",52
"Phrynosoma modestum",51
"Cervidae",50
"Ovis aries",50
"Onychomys sp.",49
"Ornithischia",49
"Sylvilagus nuttallii cf.",49
"Tadarida brasiliensis",49
"Antilocapra americana",48
"Coragyps occidentalis cf.",48
"Dipodomys merriami or Dipodomys ordii",48
"Ictidomys tridecemlineatus cf.",48
"Mya",48
"Phrynosoma cornutum",48
"Pituophis catenifer",48
"Scaphiopus couchii",48
"Sylvilagus audubonii cf.",48
"Anura sp.",47
"Camelops hesternus cf.",47
"Ictidomys or Xerospermophilus",47
"Nemocardium",47
"Neotoma pygmaea cf.",47
"Capromeryx furcifer",46
"Chromista",46
"Notiosorex harrisi",46
"Antrozous pallidus",45
"Vendobionta",45
"Canis",44
"Corvus cryptoleucus",44
"Reithrodontomys sp.",44
"Tamias sp.",44
"Camelops hesternus",43
"Chaetognatha",43
"Lepus californicus",43
"Chrysophyta",42
"Cycadophyta",41
"Filicophyta",41
"Notiosorex sp.",41
"Scaphiopus or Spea",41
"Vulpes vulpes",41
"Invertebrate Phylum incertae sedis",40
"Progymnospermae",40
"Sciuridae sp.",40
"Sigmodon sp.",40
"Ornithopoda",39
"Sceloporus cf.",39
"Sigmodon hispidus",39
"Ugrunaaluk kuukpikensis",39
"Acila",38
"Spisula",38
"Canis latrans cf.",37
"Grus canadensis",37
"Nemertina",37
"Onychomys leucogaster",37
