"scientificNameAuthorship","reps"
"",3781444
"(Linnaeus, 1758)",61027
"Linnaeus, 1758",33975
"Amsden",28852
"Hall",23896
"Walcott",23239
"(Linnaeus, 1766)",15771
"Cooper & Grant",15083
"(Hall)",13160
"Say",12371
"Evans & Schumard",12247
"(Green, 1818)",11371
"(Gmelin, 1789)",11062
"Cushman",9429
"Conrad",9078
"(Conrad)",9037
"Cooper",8816
"(d'Orbigny, 1839)",8462
"Lea",7382
"Banks",6705
"Lesquereux",6483
"Girty",5791
"Pfr.",5766
"(Gmelin, 1791)",5001
"(Agassiz)",4941
"Dall",4721
"(Morton)",4450
"(Rafinesque, 1820)",4397
"Ulrich",4217
"Perkins 2006",4155
"Mayr, 1861",4113
"(Gmelin, 1788)",3941
"(Say)",3899
"Latreille, 1804",3863
"Emery, 1893",3854
"Duméril and Bibron, 1837",3852
"Berry",3819
"Lam.",3765
"Hall, 1857",3715
"Linnaeus, 1767",3688
"(Walcott)",3678
"(Fabricius, 1775)",3677
"(Fabricius, 1793)",3668
"Linne",3663
"(Salvin)",3607
"Perkins 1980",3606
"undefinable",3512
"(Linnaeus, 1767)",3484
"Hall, 1863",3466
"Gould",3326
"(Lesson, 1826)",3315
"Cope, 1859",3303
"Gmelin",3287
"(Linnaeus)",3234
"Meek",3217
"Smith",3217
"(Barrande)",3207
"L.",3207
"Leidy",3206
"Stephenson",3146
"Gmelin, 1791",3114
"Agassiz",3080
"(Meek & Hayden)",3048
"Waagen",3011
"Mayr, 1870",3007
"(Boulenger, 1887)",2985
"D'Orbigny",2953
"Evans & Shumard",2940
"(Cushman)",2897
"Emery, 1895",2867
"Peters, 1876",2835
"Foerste",2819
"Lamarck",2808
"(Duméril and Bibron, 1839)",2788
"(Cope)",2758
"Newberry",2654
"Say, 1822",2619
"Wheeler, W.M., 1908",2614
"Linnaeus",2612
"Say, 1817",2598
"Perkins 2009",2566
"Pils.",2557
"(Say, 1822)",2518
"(A. Wilson, 1811)",2514
"(Müller, 1776)",2513
"Tåning, 1928",2510
"(Owen)",2485
"Westwood, 1839",2468
"Sowerby",2455
"Brown and Parker, 1970",2451
"(Gmelin)",2436
"(Brady, 1877)",2431
"Rafinesque, 1820",2395
"(Roger, 1863)",2389
"Cope, 1862",2380
"Cope",2345
"(Lütken, 1892)",2330
"Reeve",2306
"(D'Orbigny)",2276
"(Boddaert, 1783)",2251
"Wilson, 2003",2246
"Meek & Worthen",2216
"Perkins 2005",2215
"White",2208
"Perkins & Balfour-Browne 1994",2193
"DeKay",2178
"(Billings)",2149
"Canu & Bassler",2148
"Heer",2141
"Knowlton",2126
"(Loveridge, 1941)",2115
"(Tåning, 1928)",2106
"Owen, 1852",2095
"Green",2094
"Boulenger, 1887",2060
"Ross",2056
"Gray",2053
"(Cifelli, 1961)",2042
"Wiegmann, 1828",2042
"(Brauer, 1904)",2035
"Ulrich & Cooper",1998
"d'Orbigny, 1826",1965
"(Emerton)",1951
"Boettger, 1895",1950
"(Fabricius, 1804)",1949
"(Fabricius)",1938
"Cobban",1909
"(Say, 1817)",1907
"Shreve, 1941",1897
"King",1896
"(Lamarck, 1819)",1892
"Dunbar & Condra",1891
"Grant, 1931",1889
"d'Orbigny",1874
"Perkins 2011",1871
"(Latreille, 1802)",1866
"Pils",1865
"(Smith, F., 1858)",1861
"(Shumard)",1850
"(A. Wilson, 1810)",1842
"(Say, 1823)",1814
"(Boisduval, 1852)",1798
"Mayr, 1862",1787
"(Conrad, 1842)",1772
"(Brady)",1753
"(Tschudi, 1838)",1750
"(Lesson, 1830)",1728
"(Girty)",1718
"(Goode and Bean, 1896)",1713
"(Egger, 1893)",1710
"Dunn, 1916",1695
"Grant",1695
"Resser",1677
"(Fisher)",1663
"Meek & Hayden",1663
"Norwood & Pratten",1662
"Bowdich, 1821",1649
"Tappan Loeblich",1647
"Gray, 1821",1640
"Loeblich & Tappan Loeblich",1637
"Sow.",1627
"Zweifel, 1962",1627
"(Sowerby)",1619
"Eaton",1616
"(De Vis, 1892)",1614
"(Vieillot, 1818)",1609
"(Ord, 1815)",1595
"Ulrich & Bassler",1595
"(Emery, 1895)",1589
"Baird, 1854",1588
"(Provancher)",1584
"Torre",1576
"Owen, 1848",1558
"(Ehrenberg, 1861)",1550
"(Nylander, 1846)",1544
"(Ulrich)",1504
"Billings",1493
"Gmel.",1491
"Owen",1491
"(Lamarck, 1822)",1479
"Hollick",1478
"(Lesquereux)",1473
"Linnaeus, 1766",1473
"(Say, 1816)",1473
"Hall, 1860",1467
"Olson",1466
"(Foerster, 1850)",1460
"Bloch & Schneider, 1801",1457
"Howell",1448
"(Mitchill, 1814)",1440
"(Loveridge, 1945)",1424
"(Conrad, 1833)",1421
"(Hall, 1838)",1415
"Hall, 1858",1388
"Say, 1821",1386
"(Shaw, 1802)",1381
"(Hentz)",1374
"(Buckley, 1866)",1360
"Weber, 1939",1358
"(Cocco, 1829)",1356
"Hall & Clarke",1356
"Forel, 1901",1355
"Imlay",1354
"(Gray, 1842)",1343
"(Duméril and Bibron, 1841)",1333
"(Reuss)",1327
"Dunbar & Skinner",1325
"Clench",1321
"Lund, 1831",1319
"Poey",1319
"(Boulenger, 1884)",1318
"(Smith)",1309
"Hermann, 1781",1297
"Cocco, 1829",1295
"Gabb",1294
"Palmer",1287
"Barrande",1286
"(Boulenger, 1898)",1284
"Zweifel, 1958",1284
"Gunther, 1878",1265
"Say 1825",1265
"(Green)",1262
"(Cope, 1878)",1261
"Rafinesque, 1810",1261
"Johnson",1260
"Lazell, 1972",1259
"Perkins 2004",1259
"Van Beneden",1258
"Cuvier, 1829",1256
"Hyatt",1255
"(Meek)",1255
"(Fabricius, 1782)",1248
"(Boulenger, 1915)",1228
"Pfr",1223
"Shumard",1219
"(McChesney)",1217
"(Weaver), 1912",1216
"(Meek & Worthen)",1213
"Clarke",1211
"(Pallas, 1811)",1210
"Gardner",1204
"Pessagno",1195
"Baird, 1850",1193
"Hall & Whitfield",1187
"Bassler",1177
"Rasetti",1176
"(Blackwall)",1169
"Hall, 1859",1169
"(Swainson, 1827)",1169
"Brown",1164
"Dawson",1164
"Say, 1818",1152
"(King)",1150
"Cole",1148
"Lightft.",1140
"Darlington 1968",1139
"(Newberry)",1132
"Schwartz, 1968",1131
"(Latham, 1790)",1128
"Sohn",1128
"(Conrad, 1837)",1127
"Enzmann, J., 1947",1127
"Gmelin, 1789",1123
"(Muller, 1774)",1118
"Forel, 1893",1115
"Matthew",1109
"(Blackburn 1888)",1107
"Duellman, 1969",1106
"Lochman",1103
"Perkins 2007",1091
"Laurenti, 1768",1087
"(Reinhardt, 1837)",1080
"Miller",1078
"Cockerell",1071
"Dunbar",1071
"(J. K. Townsend, 1837)",1058
"(Swainson, 1832)",1058
"Carpenter",1055
"(Leidy)",1052
"Brady",1051
"(Nichols & Mowbray)",1050
"Hwass \in\ Bruguiere, 1792",1049
"Wheeler, W.M., 1915",1048
"Fontaine",1043
"Grinnell",1043
"(J. R. Forster, 1772)",1039
"(Günther, 1878)",1034
"Reuss",1034
"Lam",1033
"Cope, 1861",1032
"Mayr, 1884",1028
"Moll, 1935",1026
"(Hall, 1843)",1021
"(Jordan and Williams, 1895)",1019
"(Bonnaterre, 1789)",1018
"Forel, 1886",1018
"(Keyserling, 1887)",1018
"Brongniart",1007
"(Wilckens, 1769)",1002
"Pfeiffer",996
"Sarle",996
"(Schlotheim)",994
"Marsh",991
"Clark",990
"Latreille, 1802",976
"Wright, 1864",976
"Duméril and Bibron, 1841",968
"Kampen, 1913",963
"(Quatrefages, 1849)",960
"(Walbaum, 1792)",956
"(Roemer)",955
"Sellards",948
"(Vieillot, 1817)",947
"(Barbour and Loveridge, 1929)",946
"Woodring",944
"Scudder",941
"(Godart, [1824])",940
"(Parker, 1936)",937
"(Roding, 1798)",934
"(Sauvage, 1879)",929
"Weaver, 1912",928
"(Esmark, 1871)",925
"Rve.",923
"Say, 1824",923
"Keyserling",917
"(Smith, 1849)",917
"(Zugmayer, 1911)",916
"(Müller, 1774)",915
"(Wagler, 1829)",915
"Carpenter, 1864",912
"Schepman, 1919",912
