"specificEpithet","reps"
"",2065144
"sp.",221689
"sp",128432
"leonensis",22197
"haraganensis",16216
"splendens",13800
"blackbergi",12278
"striatopunctatus",12250
"floridanus",11537
"inflata",11351
"cinereus",10597
"elegans",10349
"occidentalis",8563
"carolinensis",8027
"americana",7075
"subquadrata",6709
"virginianus",6517
"gracilis",6373
"americanus",6324
"canadensis",6293
"mississippiensis",6202
"sagrei",6013
"ruber",5920
"megalodon",5643
"cancellata",5604
"filyawi",5310
"distichus",5114
"moesta",5085
"fuscus",5047
"affinis",4991
"simplex",4686
"sp.?",4543
"fusca",4389
"brevirostris",4368
"nebrascensis",4324
"alba",4301
"portoricensis",4239
"grandis",4235
"minor",4215
"striata",4167
"hispidus",4115
"fasciatus",4016
"borealis",3989
"pennsylvanicus",3984
"tennesseensis",3905
"variabilis",3864
"mazonensis",3803
"australis",3772
"dirus",3769
"cinerea",3768
"major",3723
"maniculatus",3713
"ornatus",3702
"morrowensis",3600
"californicus",3593
"granulifer",3574
"gigas",3551
"platymarginata",3544
"cybotes",3528
"texana",3525
"mivarti",3500
"asherae",3470
"communis",3452
"californica",3450
"kansasense",3439
"bicolor",3418
"ochrophaeus",3386
"cristatellus",3351
"reticularis",3339
"mexicanus",3322
"subtilita",3287
"darlingtoni",3254
"magister",3253
"serra",3242
"phaeopygia",3235
"striatus",3198
"kentuckyensis",3122
"minutus",3112
"weaveri",3110
"ovata",3102
"welleri",3069
"socialis",3048
"olseni",3024
"marmoratus",3007
"texanus",3004
"crepitans",2983
"formosa",2963
"solomonis",2955
"punctatus",2943
"oblata",2931
"costata",2914
"floridana",2908
"septentrionalis",2893
"ovatus",2880
"scripta",2852
"species",2833
"magna",2806
"crassa",2771
"fossiger",2756
"maria",2756
"nasuta",2743
"biplicata",2717
"FLORIDANA",2706
"bella",2703
"fragilis",2696
"elongata",2689
"miseri",2676
"alternata",2675
"nicolletii",2667
"niger",2651
"parva",2641
"minuta",2608
"radiata",2606
"concentrica",2605
"lineatus",2603
"tenuis",2589
"bellus",2574
"harlani",2570
"plummeri",2556
"parvus",2555
"rugosa",2523
"roemeri",2514
"whitei",2498
"roquet",2492
"gapperi",2472
"cooperi",2459
"pusillus",2452
"laevis",2444
"bulloides",2434
"leucopus",2407
"cyanura",2388
"stanleyanus",2356
"sacculifer",2354
"corrugata",2353
"sandwichensis",2344
"becki",2339
"nitida",2339
"pusilla",2333
"spinosa",2323
"remipes",2322
"vetus",2317
"palustris",2303
"hyperostosus",2279
"auriculata",2274
"oregonensis",2272
"obscura",2271
"alpestris",2267
"melodia",2264
"danae",2263
"hyemalis",2260
"vertebralis",2250
"gibbosa",2241
"rudis",2238
"meeki",2223
"minimus",2214
"sp a",2187
"eatoni",2168
"proterum",2163
"americanum",2157
"elongatum",2154
"ZINSMEISTERI",2154
"vittatus",2152
"incompta",2150
"cristata",2146
"carinatus",2127
"mirifica",2126
"mexicana",2108
"CHIPOLANA",2091
"testudinea",2080
"californiensis",2078
"versicolor",2035
"montanus",2034
"polionotus",2033
"planoconvexa",2032
"ferox",2026
"missouriensis",2026
"oklahomensis",2022
"ponderosa",2019
"gregarium",2014
"ventricosa",2011
"guentheri",2005
"paulus",2004
"jamaicensis",1989
"ornata",1987
"indicus",1986
"robustus",1985
"longicornis",1974
"griswoldi",1968
"lateralis",1957
"maculatus",1957
"flaviventris",1946
"aeneus",1933
"hastalis",1928
"grahami",1925
"nitidus",1909
"arietina",1902
"godoni",1898
"viridescens",1884
"undefinable",1879
"passerina",1875
"stimpsoni",1873
"varians",1869
"rhomboidalis",1865
"auratus",1860
"carinata",1857
"sarda",1852
"minima",1842
"prattae",1841
"insignis",1839
"coronata",1836
"picta",1832
"spiriferoides",1825
"perplexa",1824
"virens",1824
"rostrata",1814
"aztecus",1809
"antillarum",1798
"glutinata",1787
"capensis",1786
"taurus",1786
"arizonensis",1783
"nuttalli",1781
"reticulata",1780
"wolfi",1779
"crassiscutata",1773
"latrans",1761
"riparius",1761
"carboniferum",1758
"armatus",1754
"cestriensis",1739
"flemingi",1730
"intermedius",1730
"atlanticus",1729
"purduei",1727
"varia",1719
"typus",1714
"pachyderma",1709
"nigra",1704
"lineata",1702
"zibethicus",1692
"punctata",1688
"brevis",1677
"rana",1677
"depressa",1676
"geminata",1668
"flavipes",1664
"FLORIDANUS",1653
"gundlachi",1650
"aquaticus",1646
"nobilis",1641
"marinus",1639
"gigantea",1632
"orestes",1631
"lugubris",1629
"bicarinata",1627
"concinnatus",1622
"modesta",1622
"phoeniceus",1620
"thompsoni",1620
"grammicus",1617
"atoka",1614
"caeruleocauda",1614
"sulcata",1613
"elongatus",1611
"hudsonicus",1609
"slocomi",1606
"transversa",1604
"macrocephala",1601
"profundum",1587
"longirostris",1585
"glabra",1574
"flavus",1573
"pleurexanthemus",1572
"lineatopus",1569
"halli",1566
"caespitum",1563
"nevadensis",1563
"irregularis",1550
"wortheni",1545
"griseus",1540
"similis",1535
"rubra",1528
"confluens",1526
"hyatti",1522
"guttatus",1520
"spinigerum",1518
"leidyi",1516
"ELEVATA",1508
"rufus",1508
"carolina",1507
"conradi",1500
"pulchellus",1500
"olivaceus",1498
"albicollis",1489
"acuta",1486
"marginata",1484
"fasciata",1483
"pyriformis",1470
"leucophrys",1464
"brasiliensis",1451
"cameratus",1447
"floridanum",1445
"caerulea",1434
"calva",1429
"alienus",1427
"natalensis",1424
"brevicauda",1422
"pallitarsis",1421
"kansasensis",1420
"intermedia",1417
"ludovicianus",1416
"erythrophthalmus",1414
"complanatus",1413
"pacificus",1412
"arctica",1409
"robusta",1409
"brahma",1406
